Lineage	nsp1	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	Spike	ORF3a	E	M	ORF6	ORF7a	ORF7b	ORF8	N	ORF10	RBD	NTD	Other
BA.4.1	677	1904	4115	952	539	571	170	246	232	209	17	1412	1053	1037	514	444	2767	1090	149	578	187	645	158	445	1441	192	419	752	1596
BA.4.6	703	1998	4537	1003	618	619	187	315	245	258	18	1521	1049	1185	593	502	3229	1159	154	597	173	746	137	457	1612	196	533	930	1766
BA.4	346	1032	2303	470	342	341	110	158	122	138	15	733	551	568	279	232	1606	598	84	325	85	404	108	260	801	104	254	439	913
BA.5.1.1	209	464	1051	232	168	147	47	111	68	69	3	390	305	270	143	146	790	310	35	119	46	181	24	132	425	23	119	219	452
BA.5.1.10	99	347	797	176	113	107	27	69	47	51	3	269	263	196	105	108	593	205	21	103	38	91	24	98	312	23	88	191	314
BA.5.1.22	193	400	914	200	122	109	35	65	51	52	6	267	185	221	89	94	654	229	28	136	44	108	24	126	344	18	97	189	368
BA.5.1.23	143	354	799	155	132	118	38	74	49	45	3	309	254	197	102	106	625	224	37	107	41	95	23	100	352	22	88	174	363
BA.5.1.30	156	425	982	205	124	141	37	86	59	55	3	351	258	252	130	90	678	238	21	113	60	115	27	130	401	27	105	200	373
BA.5.1	1912	4625	10372	2260	1534	1455	516	829	597	663	47	3857	3203	2613	1331	1365	7736	2555	262	1309	486	1777	367	1425	4376	405	1183	2132	4421
BA.5.2.1	2441	6607	15229	3276	2137	2212	655	1126	832	909	57	5275	4439	3965	1926	1753	10994	3798	454	1866	571	2089	412	1888	5528	483	1689	3193	6112
BA.5.2.20	166	472	1005	218	152	156	42	72	59	55	2	343	277	245	152	113	776	279	30	123	29	130	23	152	364	28	112	218	446
BA.5.2.48	2	0	2	0	0	0	0	0	0	0	0	1	3	1	1	2	2	1	0	0	0	2	0	0	4	0	0	0	2
BA.5.2.9	257	581	1475	307	198	184	60	95	70	91	7	490	356	363	167	140	1037	383	56	174	63	167	26	180	499	37	187	303	547
BA.5.2	1735	4678	10652	2345	1531	1456	484	793	598	708	65	3628	2769	2825	1315	1252	7882	2725	366	1470	408	1491	264	1335	3933	347	1214	2354	4314
BA.5.5	1016	2459	5624	1151	742	784	228	426	327	372	22	2015	1708	1443	740	716	3803	1405	173	640	218	817	140	765	2260	144	521	1053	2229
BA.5.6	678	1489	3555	785	479	504	139	238	186	176	22	1179	806	937	463	330	2455	904	120	483	164	452	110	434	1378	115	369	676	1410
BA.5	141	388	870	212	119	142	40	71	60	51	3	290	230	219	116	93	660	207	33	135	31	145	40	126	363	32	140	191	329
BE.1.1	335	890	2039	404	257	275	77	134	96	119	4	725	469	490	289	194	1403	499	56	245	85	283	43	265	779	51	234	390	779
BE.1	357	811	1769	406	291	307	74	146	95	125	7	613	420	430	227	228	1335	462	53	216	74	256	53	242	743	55	203	412	720
BE.3	134	348	868	170	117	123	34	63	36	50	3	255	203	210	117	86	622	202	22	90	43	103	16	87	280	24	102	193	327
BF.10	374	851	1992	410	255	279	76	152	89	121	7	620	509	520	233	208	1492	491	58	217	53	270	37	249	702	63	242	425	825
BF.26	182	471	1021	230	135	147	35	71	49	62	9	372	269	284	129	113	730	240	23	158	38	128	22	110	356	30	119	201	410
BF.5	290	704	1798	422	255	243	88	130	100	104	8	575	472	435	246	214	1301	418	48	205	81	245	51	213	639	56	190	398	713
BF.7.14	1	1	6	4	3	1	0	0	1	1	0	2	2	1	0	1	9	2	0	0	0	0	1	0	3	1	3	1	5
BF.7	291	727	1638	334	254	242	87	131	72	90	3	597	440	420	225	201	1227	443	45	194	44	223	36	210	521	65	204	347	676
BQ.1.1.32	57	142	314	73	57	40	15	28	26	16	1	105	68	91	41	34	237	79	9	31	11	47	9	36	104	10	38	69	130
BQ.1.1	1598	4038	8841	1833	1225	1117	357	623	444	538	49	2796	2045	2318	1249	890	6721	2343	262	1078	332	1086	204	1213	3049	241	970	2073	3678
BQ.1	619	1591	3526	769	530	459	138	264	181	205	14	1103	780	937	497	404	2746	862	110	419	122	426	90	442	1353	82	404	793	1549
CHN_BA524849	283	888	2046	451	280	327	83	165	146	149	20	711	450	540	258	213	1901	470	84	289	97	313	69	278	835	56	368	574	959
CHN_BF714	202	485	1202	275	166	193	38	111	78	96	10	364	248	266	150	138	990	308	44	154	44	146	25	153	434	41	123	297	570
node_1344263	25	95	227	48	28	37	5	26	9	11	3	69	41	46	30	20	185	32	8	34	15	36	11	40	85	2	32	64	89
node_1352180	258	793	1819	403	252	290	78	139	137	138	17	642	409	494	228	193	1716	438	76	255	82	277	58	238	750	54	336	510	870
node_1376295	202	485	1202	275	166	193	38	111	78	96	10	364	248	266	150	138	990	308	44	154	44	146	25	153	1084	41	123	297	570
