Month	Proportion	Lineage	Ind
Jul-22	0	BA.5.2.48*	11
Aug-22	0.003003003	BA.5.2.48*	12
Sep-22	0.002242152	BA.5.2.48*	13
Oct-22	0.176	BA.5.2.48*	14
Nov-22	0.260469867	BA.5.2.48*	15
Dec-22	0.558871295	BA.5.2.48*	16
Jan-23	0.622371115	BA.5.2.48*	17
Feb-23	0.594186485	BA.5.2.48*	18
Mar-23	0.52016129	BA.5.2.48*	19
Apr-23	0.111318118	BA.5.2.48*	20
May-23	0.016089109	BA.5.2.48*	21
Jul-22	0	BA.5.2.49*	11
Aug-22	0	BA.5.2.49*	12
Sep-22	0.006726457	BA.5.2.49*	13
Oct-22	0.272	BA.5.2.49*	14
Nov-22	0.062308478	BA.5.2.49*	15
Dec-22	0.066179456	BA.5.2.49*	16
Jan-23	0.06327936	BA.5.2.49*	17
Feb-23	0.054737637	BA.5.2.49*	18
Mar-23	0.059475806	BA.5.2.49*	19
Apr-23	0.001397299	BA.5.2.49*	20
May-23	0	BA.5.2.49*	21
Jul-22	0	BF.7.14*	11
Aug-22	0.001501502	BF.7.14*	12
Sep-22	0.002242152	BF.7.14*	13
Oct-22	0.088	BF.7.14*	14
Nov-22	0.410623085	BF.7.14*	15
Dec-22	0.278116119	BF.7.14*	16
Jan-23	0.270798437	BF.7.14*	17
Feb-23	0.294828237	BF.7.14*	18
Mar-23	0.357862903	BF.7.14*	19
Apr-23	0.081974849	BF.7.14*	20
May-23	0.012376238	BF.7.14*	21
Jul-22	0	XBB*	11
Aug-22	0	XBB*	12
Sep-22	0.002242152	XBB*	13
Oct-22	0.026	XBB*	14
Nov-22	0.015321757	XBB*	15
Dec-22	0.004263094	XBB*	16
Jan-23	0.000372232	XBB*	17
Feb-23	0.009060023	XBB*	18
Mar-23	0.032258065	XBB*	19
Apr-23	0.742897066	XBB*	20
May-23	0.907590759	XBB*	21
Jul-22	1	Others	11
Aug-22	0.995495495	Others	12
Sep-22	0.986547085	Others	13
Oct-22	0.438	Others	14
Nov-22	0.251276813	Others	15
Dec-22	0.092570037	Others	16
Jan-23	0.043178857	Others	17
Feb-23	0.047187618	Others	18
Mar-23	0.030241935	Others	19
Apr-23	0.062412669	Others	20
May-23	0.063943894	Others	21
