Date	Cases	Date2T1	Group
2022/3/11	27838	0	case
2022/3/12	24959.429	1	case
2022/3/13	22596.143	2	case
2022/3/14	21198	3	case
2022/3/15	19066.857	4	case
2022/3/16	17533.286	5	case
2022/3/17	15555.143	6	case
2022/3/18	14228.143	7	case
2022/3/19	13028.571	8	case
2022/3/20	12055.571	9	case
2022/3/21	10804.286	10	case
2022/3/22	9819.286	11	case
2022/3/23	8467.857	12	case
2022/3/24	7904.571	13	case
2022/3/25	7301.714	14	case
2022/3/26	6708.857	15	case
2022/3/27	6281.571	16	case
2022/3/28	5951.429	17	case
2022/3/29	5642.429	18	case
2022/3/30	5441.571	19	case
2022/3/31	5111.286	20	case
2022/4/1	4976.857	21	case
2022/4/2	4827.429	22	case
2022/4/3	4610.857	23	case
2022/4/4	4389.429	24	case
2022/4/5	4170.143	25	case
2022/4/6	3909.571	26	case
2022/4/7	3702.429	27	case
2022/4/8	3412.571	28	case
2022/4/9	3217	29	case
2022/4/10	3092.571	30	case
2022/4/11	3021.571	31	case
2022/4/12	2952.143	32	case
2022/4/13	3168.714	33	case
2022/4/14	3393.143	34	case
2022/4/15	3760.429	35	case
2022/4/16	4117.571	36	case
2022/4/17	4381	37	case
2022/4/18	4739.286	38	case
2022/4/19	5015.714	39	case
2022/4/20	5153.429	40	case
2022/4/21	5219.429	41	case
2022/4/22	5430.714	42	case
2022/4/23	5531.857	43	case
2022/4/24	6043.286	44	case
2022/4/25	6368.286	45	case
2022/4/26	6876.571	46	case
2022/4/27	7589.143	47	case
2022/4/28	9285.429	48	case
2022/4/29	10256.571	49	case
2022/4/30	11712.714	50	case
2022/5/1	13140.429	51	case
2022/5/2	14708.143	52	case
2022/5/3	16888.286	53	case
2022/5/4	19489.857	54	case
2022/5/5	21382.143	55	case
2022/5/6	24612.571	56	case
2022/5/7	28709.714	57	case
2022/5/8	32531.571	58	case
2022/5/9	35733.714	59	case
2022/5/10	39674.286	60	case
2022/5/11	43774.714	61	case
2022/5/12	48810.857	62	case
2022/5/13	52923.143	63	case
2022/5/14	55700.143	64	case
2022/5/15	59153.857	65	case
2022/5/16	62188	66	case
2022/5/17	64296.429	67	case
2022/5/18	68179.857	68	case
2022/5/19	71719.143	69	case
2022/5/20	74681.571	70	case
2022/5/21	77612.857	71	case
2022/5/22	79150.143	72	case
2022/5/23	79788.143	73	case
2022/5/24	82166.429	74	case
2022/5/25	82862.143	75	case
2022/5/26	81642.714	76	case
2022/5/27	82884.143	77	case
2022/5/28	82338.143	78	case
2022/5/29	81905.714	79	case
2022/5/30	81009.143	80	case
2022/5/31	80751.429	81	case
2022/6/1	80582.571	82	case
2022/6/2	79870.286	83	case
2022/6/3	77303.571	84	case
2022/6/4	75490.286	85	case
2022/6/5	73424.143	86	case
2022/6/6	72431.714	87	case
2022/6/7	72769.286	88	case
2022/6/8	71627	89	case
2022/6/9	71085.571	90	case
2022/6/10	69925.143	91	case
2022/6/11	71592.286	92	case
2022/6/12	69997.429	93	case
2022/6/13	68883.857	94	case
2022/6/14	66523.714	95	case
2022/6/15	64958.143	96	case
2022/6/16	63589.143	97	case
2022/6/17	61743.286	98	case
2022/6/18	58057.286	99	case
2022/6/19	58067	100	case
2022/6/20	56741.714	101	case
2022/6/21	55354.286	102	case
2022/6/22	52994.429	103	case
2022/6/23	50893.286	104	case
2022/6/24	49574.857	105	case
2022/6/25	47703.714	106	case
2022/6/26	46169	107	case
2022/6/27	45191.143	108	case
2022/6/28	43487.286	109	case
2022/6/29	42085	110	case
2022/6/30	40784.143	111	case
2022/7/1	39400.143	112	case
2022/7/2	38635.143	113	case
2022/7/3	37621.143	114	case
2022/7/4	36812.429	115	case
2022/7/5	35684.143	116	case
2022/7/6	34645.143	117	case
2022/7/7	33609	118	case
2022/7/8	32880.857	119	case
2022/7/9	31987.857	120	case
2022/7/10	31420.429	121	case
2022/7/11	30966.714	122	case
2022/7/12	30331.714	123	case
2022/7/13	29720.286	124	case
2022/7/14	29243.857	125	case
2022/7/15	28573.429	126	case
2022/7/16	28222.143	127	case
2022/7/17	27738.143	128	case
2022/7/18	27614.857	129	case
2022/7/19	27050.571	130	case
2022/7/20	26689.143	131	case
2022/7/21	26371.857	132	case
2022/7/22	26211	133	case
2022/7/23	25812.857	134	case
2022/7/24	25477.286	135	case
2022/7/25	25371.429	136	case
2022/7/26	25131.286	137	case
2022/7/27	24946	138	case
2022/7/28	24796.143	139	case
2022/7/29	24707	140	case
2022/7/30	24571.857	141	case
2022/7/31	24468.571	142	case
2022/8/1	24393	143	case
2022/8/2	24141.714	144	case
2022/8/3	23880.857	145	case
2022/8/4	23741.714	146	case
2022/8/5	23529.857	147	case
2022/8/6	23334.286	148	case
2022/8/7	23498.286	149	case
2022/8/8	23361.714	150	case
2022/8/9	23428.571	151	case
2022/8/10	23496	152	case
2022/8/11	23491.286	153	case
2022/8/12	23535.429	154	case
2022/8/13	23813.714	155	case
2022/8/14	23747.714	156	case
2022/8/15	23846.571	157	case
2022/8/16	23844.571	158	case
2022/8/17	24054.429	159	case
2022/8/18	24246.143	160	case
2022/8/19	24481.143	161	case
2022/8/20	24632	162	case
2022/8/21	24870.571	163	case
2022/8/22	25097.714	164	case
2022/8/23	25588.429	165	case
2022/8/24	26182.286	166	case
2022/8/25	26808.143	167	case
2022/8/26	27323.571	168	case
2022/8/27	27780.571	169	case
2022/8/28	28488.857	170	case
2022/8/29	29035.143	171	case
2022/8/30	29826	172	case
2022/8/31	30707.429	173	case
2022/9/1	31706.286	174	case
2022/9/2	32834.857	175	case
2022/9/3	34006.286	176	case
2022/9/4	35088.286	177	case
2022/9/5	35612.714	178	case
2022/9/6	36316	179	case
2022/9/7	37226	180	case
2022/9/8	37314.571	181	case
2022/9/9	37313.286	182	case
2022/9/10	37612.571	183	case
2022/9/11	37168.714	184	case
2022/9/12	37254.714	185	case
2022/9/13	38638.143	186	case
2022/9/14	39712.714	187	case
2022/9/15	41096.286	188	case
2022/9/16	42068	189	case
2022/9/17	42527.571	190	case
2022/9/18	43511.429	191	case
2022/9/19	43850.857	192	case
2022/9/20	43422.429	193	case
2022/9/21	42941.857	194	case
2022/9/22	42393	195	case
2022/9/23	42044.857	196	case
2022/9/24	41782.286	197	case
2022/9/25	41619.571	198	case
2022/9/26	41613.571	199	case
2022/9/27	41723.857	200	case
2022/9/28	41907.286	201	case
2022/9/29	42197.286	202	case
2022/9/30	42659.857	203	case
2022/10/1	43298.857	204	case
2022/10/2	43894.571	205	case
2022/10/3	44571.143	206	case
2022/10/4	45119.714	207	case
2022/10/5	46045.143	208	case
2022/10/6	46311.143	209	case
2022/10/7	47420.571	210	case
2022/10/8	47690	211	case
2022/10/9	47955.143	212	case
2022/10/10	47847.571	213	case
2022/10/11	46738	214	case
2022/10/12	46446.857	215	case
2022/10/13	47476.857	216	case
2022/10/14	47122.286	217	case
2022/10/15	46987.143	218	case
2022/10/16	46575.429	219	case
2022/10/17	46099.857	220	case
2022/10/18	46590.286	221	case
2022/10/19	45444.714	222	case
2022/10/20	43428.429	223	case
2022/10/21	41832.286	224	case
2022/10/22	40764	225	case
2022/10/23	39861.143	226	case
2022/10/24	39504.429	227	case
2022/10/25	38716.143	228	case
2022/10/26	38136.714	229	case
2022/10/27	37643.429	230	case
2022/10/28	37332.143	231	case
2022/10/29	36856.286	232	case
2022/10/30	36357.429	233	case
2022/10/31	35848.714	234	case
2022/11/1	35149.143	235	case
2022/11/2	33689.714	236	case
2022/11/3	33343.429	237	case
2022/11/4	32252.429	238	case
2022/11/5	31300.286	239	case
2022/11/6	30233	240	case
2022/11/7	29419	241	case
2022/11/8	28194.857	242	case
2022/11/9	27571.714	243	case
2022/11/10	26112.571	244	case
2022/11/11	25283	245	case
2022/11/12	24535	246	case
2022/11/13	23950.286	247	case
2022/11/14	24090.286	248	case
2022/11/15	23269.571	249	case
2022/11/16	23180.429	250	case
2022/11/17	23112.714	251	case
2022/11/18	22948.143	252	case
2022/11/19	22687.571	253	case
2022/11/20	22457.571	254	case
2022/11/21	21898	255	case
2022/11/22	22054.857	256	case
2022/11/23	21638.714	257	case
2022/11/24	21188.857	258	case
2022/11/25	20848	259	case
2022/11/26	20600.714	260	case
2022/11/27	20392.143	261	case
2022/11/28	20423.714	262	case
2022/11/29	20524.143	263	case
2022/11/30	20548.429	264	case
2022/12/1	20673.143	265	case
2022/12/2	20778.857	266	case
2022/12/3	20877.286	267	case
2022/12/4	20988.429	268	case
2022/12/5	21206	269	case
2022/12/6	21173.286	270	case
2022/12/7	21206.143	271	case
2022/12/8	21231.286	272	case
2022/12/9	84506	273	case
2022/12/10	159699.714	274	case
2022/12/11	263698.857	275	case
2022/12/12	389166.429	276	case
2022/12/13	532988.429	277	case
2022/12/14	703742.143	278	case
2022/12/15	956197.429	279	case
2022/12/16	1218625.714	280	case
2022/12/17	1585507.143	281	case
2022/12/18	2059929.286	282	case
2022/12/19	2660908.571	283	case
2022/12/20	3357355	284	case
2022/12/21	4102314	285	case
2022/12/22	4841782	286	case
2022/12/23	5417115.143	287	case
2022/12/24	5782211	288	case
2022/12/25	5882128.571	289	case
2022/12/26	5790632	290	case
2022/12/27	5569412	291	case
2022/12/28	5154944	292	case
2022/12/29	4578255	293	case
2022/12/30	4021322.286	294	case
2022/12/31	3520696.571	295	case
2023/1/1	3069032.143	296	case
2023/1/2	2614744.429	297	case
2023/1/3	2187263.857	298	case
2023/1/4	1861150.571	299	case
2023/1/5	1584388.571	300	case
2023/1/6	1360671.143	301	case
2023/1/7	1151680.286	302	case
2023/1/8	997541.429	303	case
2023/1/9	872574.857	304	case
2023/1/10	735732.143	305	case
2023/1/11	601334.857	306	case
2023/1/12	499208.429	307	case
2023/1/13	409101.429	308	case
2023/1/14	337367.286	309	case
2023/1/15	282204.714	310	case
2023/1/16	240472	311	case
2023/1/17	201628.429	312	case
2023/1/18	172752	313	case
2023/1/19	146501.143	314	case
2023/1/20	125455.143	315	case
2023/1/21	107883.286	316	case
2023/1/22	94048.429	317	case
2023/1/23	81296.286	318	case
2023/1/24	64255.143	319	case
2023/1/25	51678.714	320	case
2023/1/26	40770.714	321	case
2023/1/27	32145.571	322	case
2023/1/28	25077.429	323	case
2023/1/29	22668.571	324	case
2023/1/30	22146.143	325	case
2023/1/31	24618.286	326	case
2023/2/1	26417.286	327	case
2023/2/2	24080.429	328	case
2023/2/3	28100	329	case
2023/2/4	27567	330	case
2023/2/5	26936.286	331	case
2023/2/6	26117.429	332	case
2023/2/7	24839.143	333	case
2023/2/8	23744.143	334	case
2023/2/9	26695.286	335	case
2023/2/10	21936.571	336	case
2023/2/11	24633.286	337	case
2023/2/12		338	case
2023/2/13	21354.571	339	case
2023/2/14	20929.571	340	case
2023/2/15	20289.143	341	case
2023/2/16	19682.143	342	case
2023/2/17	16878	343	case
2023/2/18	15121.286	344	case
2023/2/19	17409.571	345	case
2023/2/20	16670.143	346	case
2023/2/21	16196.571	347	case
2023/2/22	15701.714	348	case
2023/2/23	15356.571	349	case
2023/2/24	15356.571	350	case
2023/2/25	11095.714	351	case
2023/2/26	14542.571	352	case
2023/2/27	13922	353	case
2023/2/28	12898.143	354	case
2023/3/1	12284.857	355	case
2023/3/2	12235	356	case
2023/3/3	12235	357	case
2023/3/4	12112.857	358	case
2023/3/5	11455.286	359	case
2023/3/6	11353.857	360	case
2023/3/7	11477.143	361	case
2023/3/8	11302.286	362	case
2023/3/9	10653.143	363	case
2023/3/10	10653.143	364	case
2023/3/11	13181.143	365	case
2023/3/12	9406.857	366	case
2023/3/13	9331.143	367	case
2023/3/14	9196.143	368	case
2023/3/15	9073.429	369	case
2023/3/16	8996.286	370	case
2023/3/17	8996.286	371	case
2023/3/18	9328.714	372	case
2023/3/19	8720.714	373	case
2023/3/20	8575.286	374	case
2023/3/21	7511.857	375	case
2023/3/22	6092.286	376	case
2023/3/23	4808.714	377	case
2023/3/24	4808.714	378	case
2023/3/25	1943.143	379	case
2023/3/26	1341.286	380	case
2023/3/27	549.857	381	case
2023/3/28	172.857	382	case
2023/3/29	140.143	383	case
2023/3/30	133.286	384	case
2023/3/31	133.286	385	case
2023/4/1	124.571	386	case
2023/4/2	58	387	case
2023/4/3	148.714	388	case
2023/4/4	152.714	389	case
2023/4/5	158.143	390	case
2023/4/6	149.429	391	case
2023/4/7	149.429	392	case
2023/4/8	149.429	393	case
2023/4/9	175.429	394	case
2023/4/10	178.429	395	case
2023/4/11	180.714	396	case
2023/4/12	183.571	397	case
2023/4/13	209	398	case
2023/4/14	237	399	case
2023/4/15	237	400	case
2023/4/16	242.714	401	case
2023/4/17	261	402	case
2023/4/18	275.429	403	case
2023/4/19	288.714	404	case
2023/4/20	296.714	405	case
2023/4/21	301.143	406	case
2023/4/22	301.143	407	case
2023/4/23	315.143	408	case
2023/4/24	335.571	409	case
2023/4/25	344.571	410	case
2023/4/26	361.429	411	case
2023/4/27	381.286	412	case
2023/4/28	404.429	413	case
2023/4/29	404.429	414	case
2023/4/30	440.286	415	case
2023/5/1	474	416	case
2023/5/2	484.429	417	case
2023/5/3	491.857	418	case
2023/5/4	500.714	419	case
2023/5/5	511.143	420	case
2023/5/6	511.143	421	case
2023/5/7	533.714	422	case
2023/5/8	548.857	423	case
2023/5/9	561.429	424	case
2023/5/10	575.714	425	case
2023/5/11	596.857	426	case
2023/5/12	612.571	427	case
2023/5/13	613.429	428	case
2023/5/14	634.286	429	case
2023/5/15	652.286	430	case
2023/5/16	659.429	431	case
2023/5/17	660	432	case
2023/5/18	646	433	case
2023/5/19	632.714	434	case
2023/5/20	631.857	435	case
2023/5/21	633.857	436	case
2023/5/22	688.286	437	case
2023/5/23	687.857	438	case
2022/12/7	21206.143	271	Day
2022/12/7	21206.143	0	Day
