Date	Count	Days2T1	Group
2022/8/16	1	15	Beast
2022/8/30	10	29	Beast
2022/9/11	1	41	Beast
2022/9/28	1	58	Seq
2022/9/30	2	60	Seq
2022/10/2	3	62	Seq
2022/10/3	12	63	Seq
2022/10/4	8	64	Seq
2022/10/5	3	65	Seq
2022/10/6	4	66	Seq
2022/10/7	3	67	Seq
2022/10/8	1	68	Seq
2022/10/9	7	69	Seq
2022/10/10	3	70	Seq
2022/10/11	4	71	Seq
2022/10/12	6	72	Seq
2022/10/13	2	73	Seq
2022/10/14	9	74	Seq
2022/10/15	9	75	Seq
2022/10/16	12	76	Seq
2022/10/17	4	77	Seq
2022/10/18	17	78	Seq
2022/10/19	4	79	Seq
2022/10/20	7	80	Seq
2022/10/21	3	81	Seq
2022/10/22	2	82	Seq
2022/10/23	1	83	Seq
2022/10/24	3	84	Seq
2022/10/25	4	85	Seq
2022/10/26	1	86	Seq
2022/10/27	2	87	Seq
2022/10/28	1	88	Seq
2022/10/29	1	89	Seq
2022/10/30	1	90	Seq
2022/10/31	2	91	Seq
2022/11/1	2	92	Seq
2022/11/3	1	94	Seq
2022/11/4	2	95	Seq
2022/11/5	1	96	Seq
2022/11/6	3	97	Seq
2022/11/7	6	98	Seq
2022/11/9	5	100	Seq
2022/11/12	1	103	Seq
2022/11/16	1	107	Seq
2022/11/17	1	108	Seq
2022/11/21	2	112	Seq
2022/11/23	3	114	Seq
2022/11/24	5	115	Seq
2022/11/26	7	117	Seq
2022/11/27	3	118	Seq
2022/11/28	6	119	Seq
2022/11/29	8	120	Seq
2022/11/30	8	121	Seq
2022/12/1	27	122	Seq
2022/12/2	22	123	Seq
2022/12/3	27	124	Seq
2022/12/4	5	125	Seq
2022/12/5	14	126	Seq
2022/12/6	6	127	Seq
2022/12/7	7	128	Seq
2022/12/8	3	129	Seq
2022/12/9	2	130	Seq
2022/12/10	1	131	Seq
2022/12/11	5	132	Seq
2022/12/12	8	133	Seq
2022/12/13	18	134	Seq
2022/12/14	5	135	Seq
2022/12/16	8	137	Seq
2022/12/17	7	138	Seq
2022/12/18	1	139	Seq
2022/12/19	12	140	Seq
2022/12/20	13	141	Seq
2022/12/21	12	142	Seq
2022/12/22	24	143	Seq
2022/12/23	5	144	Seq
2022/12/24	12	145	Seq
2022/12/25	9	146	Seq
2022/12/26	22	147	Seq
2022/12/27	19	148	Seq
2022/12/28	29	149	Seq
2022/12/29	19	150	Seq
2022/12/30	11	151	Seq
2022/12/31	4	152	Seq
2023/1/1	3	153	Seq
2023/1/2	16	154	Seq
2023/1/3	34	155	Seq
2023/1/4	19	156	Seq
2023/1/5	15	157	Seq
2023/1/6	19	158	Seq
2023/1/7	17	159	Seq
2023/1/8	11	160	Seq
2023/1/9	28	161	Seq
2023/1/10	5	162	Seq
2023/1/11	13	163	Seq
2023/1/12	17	164	Seq
2023/1/13	11	165	Seq
2023/1/14	13	166	Seq
2023/1/15	12	167	Seq
2023/1/16	18	168	Seq
2023/1/17	23	169	Seq
2023/1/18	6	170	Seq
2023/1/19	2	171	Seq
2023/1/20	12	172	Seq
2023/1/21	2	173	Seq
2023/1/22	13	174	Seq
2023/1/23	4	175	Seq
2023/1/24	6	176	Seq
2023/1/25	13	177	Seq
2023/1/26	4	178	Seq
2023/1/27	5	179	Seq
2023/1/28	12	180	Seq
2023/1/29	9	181	Seq
2023/1/30	17	182	Seq
2023/1/31	5	183	Seq
2023/2/1	4	184	Seq
2023/2/2	6	185	Seq
2023/2/3	9	186	Seq
2023/2/4	6	187	Seq
2023/2/5	7	188	Seq
2023/2/6	13	189	Seq
2023/2/7	3	190	Seq
2023/2/8	5	191	Seq
2023/2/9	11	192	Seq
2023/2/10	11	193	Seq
2023/2/11	1	194	Seq
2023/2/12	6	195	Seq
2023/2/13	5	196	Seq
2023/2/14	5	197	Seq
2023/2/15	5	198	Seq
2023/2/16	1	199	Seq
2023/2/17	3	200	Seq
2023/2/18	3	201	Seq
2023/2/19	6	202	Seq
2023/2/20	9	203	Seq
2023/2/21	21	204	Seq
2023/2/22	4	205	Seq
2023/2/23	5	206	Seq
2023/2/24	13	207	Seq
2023/2/25	8	208	Seq
2023/2/26	9	209	Seq
2023/2/27	9	210	Seq
2023/2/28	6	211	Seq
2023/3/1	4	212	Seq
2023/3/2	5	213	Seq
2023/3/3	18	214	Seq
2023/3/4	5	215	Seq
2023/3/5	8	216	Seq
2023/3/6	9	217	Seq
2023/3/7	12	218	Seq
2023/3/8	4	219	Seq
2023/3/9	9	220	Seq
2023/3/10	2	221	Seq
2023/3/11	5	222	Seq
2023/3/12	8	223	Seq
2023/3/13	7	224	Seq
2023/3/14	7	225	Seq
2023/3/15	3	226	Seq
2023/3/16	5	227	Seq
2023/3/17	8	228	Seq
2023/3/18	3	229	Seq
2023/3/20	7	231	Seq
2023/3/21	4	232	Seq
2023/3/22	6	233	Seq
2023/3/23	13	234	Seq
2023/3/24	3	235	Seq
2023/3/26	2	237	Seq
2023/3/27	2	238	Seq
2023/3/28	5	239	Seq
2023/3/29	1	240	Seq
2023/3/30	2	241	Seq
2023/4/2	3	244	Seq
2023/4/4	2	246	Seq
2023/4/5	1	247	Seq
2023/4/6	2	248	Seq
2023/4/7	2	249	Seq
2023/4/9	1	251	Seq
2023/4/10	1	252	Seq
2023/4/11	2	253	Seq
2023/4/12	1	254	Seq
2023/4/15	1	257	Seq
2023/4/17	2	259	Seq
2023/4/23	4	265	Seq
2023/4/24	1	266	Seq
2023/4/25	0	267	Seq
2023/5/23	0	295	Seq
Aug-22	-1	0	Date
Sep-22	0	31	Date
Oct-22	-1	61	Date
Nov-22	0	92	Date
Dec-22	-1	122	Date
Jan-23	0	153	Date
Feb-23	-1	184	Date
Mar-23	0	212	Date
Apr-23	-1	243	Date
May-23	0	273	Date
