Date	Cases	Date2T1	Group
2022/5/22	79150.143	0	case
2022/5/23	79788.143	1	case
2022/5/24	82166.429	2	case
2022/5/25	82862.143	3	case
2022/5/26	81642.714	4	case
2022/5/27	82884.143	5	case
2022/5/28	82338.143	6	case
2022/5/29	81905.714	7	case
2022/5/30	81009.143	8	case
2022/5/31	80751.429	9	case
2022/6/1	80582.571	10	case
2022/6/2	79870.286	11	case
2022/6/3	77303.571	12	case
2022/6/4	75490.286	13	case
2022/6/5	73424.143	14	case
2022/6/6	72431.714	15	case
2022/6/7	72769.286	16	case
2022/6/8	71627	17	case
2022/6/9	71085.571	18	case
2022/6/10	69925.143	19	case
2022/6/11	71592.286	20	case
2022/6/12	69997.429	21	case
2022/6/13	68883.857	22	case
2022/6/14	66523.714	23	case
2022/6/15	64958.143	24	case
2022/6/16	63589.143	25	case
2022/6/17	61743.286	26	case
2022/6/18	58057.286	27	case
2022/6/19	58067	28	case
2022/6/20	56741.714	29	case
2022/6/21	55354.286	30	case
2022/6/22	52994.429	31	case
2022/6/23	50893.286	32	case
2022/6/24	49574.857	33	case
2022/6/25	47703.714	34	case
2022/6/26	46169	35	case
2022/6/27	45191.143	36	case
2022/6/28	43487.286	37	case
2022/6/29	42085	38	case
2022/6/30	40784.143	39	case
2022/7/1	39400.143	40	case
2022/7/2	38635.143	41	case
2022/7/3	37621.143	42	case
2022/7/4	36812.429	43	case
2022/7/5	35684.143	44	case
2022/7/6	34645.143	45	case
2022/7/7	33609	46	case
2022/7/8	32880.857	47	case
2022/7/9	31987.857	48	case
2022/7/10	31420.429	49	case
2022/7/11	30966.714	50	case
2022/7/12	30331.714	51	case
2022/7/13	29720.286	52	case
2022/7/14	29243.857	53	case
2022/7/15	28573.429	54	case
2022/7/16	28222.143	55	case
2022/7/17	27738.143	56	case
2022/7/18	27614.857	57	case
2022/7/19	27050.571	58	case
2022/7/20	26689.143	59	case
2022/7/21	26371.857	60	case
2022/7/22	26211	61	case
2022/7/23	25812.857	62	case
2022/7/24	25477.286	63	case
2022/7/25	25371.429	64	case
2022/7/26	25131.286	65	case
2022/7/27	24946	66	case
2022/7/28	24796.143	67	case
2022/7/29	24707	68	case
2022/7/30	24571.857	69	case
2022/7/31	24468.571	70	case
2022/8/1	24393	71	case
2022/8/2	24141.714	72	case
2022/8/3	23880.857	73	case
2022/8/4	23741.714	74	case
2022/8/5	23529.857	75	case
2022/8/6	23334.286	76	case
2022/8/7	23498.286	77	case
2022/8/8	23361.714	78	case
2022/8/9	23428.571	79	case
2022/8/10	23496	80	case
2022/8/11	23491.286	81	case
2022/8/12	23535.429	82	case
2022/8/13	23813.714	83	case
2022/8/14	23747.714	84	case
2022/8/15	23846.571	85	case
2022/8/16	23844.571	86	case
2022/8/17	24054.429	87	case
2022/8/18	24246.143	88	case
2022/8/19	24481.143	89	case
2022/8/20	24632	90	case
2022/8/21	24870.571	91	case
2022/8/22	25097.714	92	case
2022/8/23	25588.429	93	case
2022/8/24	26182.286	94	case
2022/8/25	26808.143	95	case
2022/8/26	27323.571	96	case
2022/8/27	27780.571	97	case
2022/8/28	28488.857	98	case
2022/8/29	29035.143	99	case
2022/8/30	29826	100	case
2022/8/31	30707.429	101	case
2022/9/1	31706.286	102	case
2022/9/2	32834.857	103	case
2022/9/3	34006.286	104	case
2022/9/4	35088.286	105	case
2022/9/5	35612.714	106	case
2022/9/6	36316	107	case
2022/9/7	37226	108	case
2022/9/8	37314.571	109	case
2022/9/9	37313.286	110	case
2022/9/10	37612.571	111	case
2022/9/11	37168.714	112	case
2022/9/12	37254.714	113	case
2022/9/13	38638.143	114	case
2022/9/14	39712.714	115	case
2022/9/15	41096.286	116	case
2022/9/16	42068	117	case
2022/9/17	42527.571	118	case
2022/9/18	43511.429	119	case
2022/9/19	43850.857	120	case
2022/9/20	43422.429	121	case
2022/9/21	42941.857	122	case
2022/9/22	42393	123	case
2022/9/23	42044.857	124	case
2022/9/24	41782.286	125	case
2022/9/25	41619.571	126	case
2022/9/26	41613.571	127	case
2022/9/27	41723.857	128	case
2022/9/28	41907.286	129	case
2022/9/29	42197.286	130	case
2022/9/30	42659.857	131	case
