Date	Count	Days2T1	Group
2022/5/22	1	21	Beast
2022/7/13	100	73	Beast
2022/8/12	1	103	Beast
2022/8/15	1	106	Seq
2022/9/27	1	149	Seq
2022/10/2	3	154	Seq
2022/10/3	1	155	Seq
2022/10/6	1	158	Seq
2022/10/7	1	159	Seq
2022/10/8	1	160	Seq
2022/10/9	2	161	Seq
2022/10/10	3	162	Seq
2022/10/19	2	171	Seq
2022/10/22	1	174	Seq
2022/10/25	1	177	Seq
2022/10/27	4	179	Seq
2022/10/28	6	180	Seq
2022/10/29	9	181	Seq
2022/10/30	5	182	Seq
2022/10/31	6	183	Seq
2022/11/1	15	184	Seq
2022/11/2	13	185	Seq
2022/11/3	14	186	Seq
2022/11/4	11	187	Seq
2022/11/5	14	188	Seq
2022/11/6	20	189	Seq
2022/11/7	18	190	Seq
2022/11/8	16	191	Seq
2022/11/9	16	192	Seq
2022/11/10	10	193	Seq
2022/11/11	8	194	Seq
2022/11/12	18	195	Seq
2022/11/13	15	196	Seq
2022/11/14	15	197	Seq
2022/11/15	20	198	Seq
2022/11/16	12	199	Seq
2022/11/17	10	200	Seq
2022/11/18	13	201	Seq
2022/11/19	18	202	Seq
2022/11/20	9	203	Seq
2022/11/21	33	204	Seq
2022/11/22	12	205	Seq
2022/11/23	17	206	Seq
2022/11/24	23	207	Seq
2022/11/25	19	208	Seq
2022/11/26	9	209	Seq
2022/11/27	1	210	Seq
2022/11/28	12	211	Seq
2022/11/29	12	212	Seq
2022/11/30	19	213	Seq
2022/12/1	90	214	Seq
2022/12/2	59	215	Seq
2022/12/3	43	216	Seq
2022/12/4	37	217	Seq
2022/12/5	75	218	Seq
2022/12/6	34	219	Seq
2022/12/7	12	220	Seq
2022/12/8	54	221	Seq
2022/12/9	73	222	Seq
2022/12/10	7	223	Seq
2022/12/11	50	224	Seq
2022/12/12	30	225	Seq
2022/12/13	39	226	Seq
2022/12/14	29	227	Seq
2022/12/15	17	228	Seq
2022/12/16	21	229	Seq
2022/12/17	22	230	Seq
2022/12/18	27	231	Seq
2022/12/19	105	232	Seq
2022/12/20	60	233	Seq
2022/12/21	58	234	Seq
2022/12/22	90	235	Seq
2022/12/23	58	236	Seq
2022/12/24	71	237	Seq
2022/12/25	59	238	Seq
2022/12/26	94	239	Seq
2022/12/27	94	240	Seq
2022/12/28	116	241	Seq
2022/12/29	70	242	Seq
2022/12/30	51	243	Seq
2022/12/31	35	244	Seq
2023/1/1	22	245	Seq
2023/1/2	79	246	Seq
2023/1/3	131	247	Seq
2023/1/4	118	248	Seq
2023/1/5	106	249	Seq
2023/1/6	83	250	Seq
2023/1/7	36	251	Seq
2023/1/8	54	252	Seq
2023/1/9	122	253	Seq
2023/1/10	72	254	Seq
2023/1/11	77	255	Seq
2023/1/12	77	256	Seq
2023/1/13	42	257	Seq
2023/1/14	18	258	Seq
2023/1/15	38	259	Seq
2023/1/16	96	260	Seq
2023/1/17	73	261	Seq
2023/1/18	31	262	Seq
2023/1/19	39	263	Seq
2023/1/20	55	264	Seq
2023/1/21	19	265	Seq
2023/1/22	13	266	Seq
2023/1/23	29	267	Seq
2023/1/24	40	268	Seq
2023/1/25	29	269	Seq
2023/1/26	46	270	Seq
2023/1/27	12	271	Seq
2023/1/28	63	272	Seq
2023/1/29	33	273	Seq
2023/1/30	71	274	Seq
2023/1/31	38	275	Seq
2023/2/1	53	276	Seq
2023/2/2	44	277	Seq
2023/2/3	33	278	Seq
2023/2/4	10	279	Seq
2023/2/5	26	280	Seq
2023/2/6	46	281	Seq
2023/2/7	51	282	Seq
2023/2/8	40	283	Seq
2023/2/9	16	284	Seq
2023/2/10	83	285	Seq
2023/2/11	33	286	Seq
2023/2/12	18	287	Seq
2023/2/13	67	288	Seq
2023/2/14	44	289	Seq
2023/2/15	30	290	Seq
2023/2/16	70	291	Seq
2023/2/17	28	292	Seq
2023/2/18	53	293	Seq
2023/2/19	36	294	Seq
2023/2/20	67	295	Seq
2023/2/21	76	296	Seq
2023/2/22	40	297	Seq
2023/2/23	49	298	Seq
2023/2/24	60	299	Seq
2023/2/25	18	300	Seq
2023/2/26	30	301	Seq
2023/2/27	66	302	Seq
2023/2/28	79	303	Seq
2023/3/1	41	304	Seq
2023/3/2	29	305	Seq
2023/3/3	84	306	Seq
2023/3/4	21	307	Seq
2023/3/5	22	308	Seq
2023/3/6	70	309	Seq
2023/3/7	69	310	Seq
2023/3/8	61	311	Seq
2023/3/9	28	312	Seq
2023/3/10	61	313	Seq
2023/3/11	51	314	Seq
2023/3/12	32	315	Seq
2023/3/13	63	316	Seq
2023/3/14	60	317	Seq
2023/3/15	40	318	Seq
2023/3/16	42	319	Seq
2023/3/17	53	320	Seq
2023/3/18	22	321	Seq
2023/3/19	37	322	Seq
2023/3/20	55	323	Seq
2023/3/21	55	324	Seq
2023/3/22	35	325	Seq
2023/3/23	41	326	Seq
2023/3/24	25	327	Seq
2023/3/25	29	328	Seq
2023/3/26	24	329	Seq
2023/3/27	47	330	Seq
2023/3/28	16	331	Seq
2023/3/29	24	332	Seq
2023/3/30	17	333	Seq
2023/3/31	40	334	Seq
2023/4/1	12	335	Seq
2023/4/2	14	336	Seq
2023/4/3	35	337	Seq
2023/4/4	26	338	Seq
2023/4/5	31	339	Seq
2023/4/6	37	340	Seq
2023/4/7	40	341	Seq
2023/4/8	11	342	Seq
2023/4/9	9	343	Seq
2023/4/10	33	344	Seq
2023/4/11	32	345	Seq
2023/4/12	12	346	Seq
2023/4/13	9	347	Seq
2023/4/14	16	348	Seq
2023/4/15	10	349	Seq
2023/4/16	22	350	Seq
2023/4/17	60	351	Seq
2023/4/18	42	352	Seq
2023/4/19	49	353	Seq
2023/4/20	19	354	Seq
2023/4/21	33	355	Seq
2023/4/22	9	356	Seq
2023/4/23	41	357	Seq
2023/4/24	21	358	Seq
2023/4/25	23	359	Seq
2023/4/26	20	360	Seq
2023/4/27	10	361	Seq
2023/4/28	12	362	Seq
2023/4/29	7	363	Seq
2023/4/30	2	364	Seq
2023/5/1	5	365	Seq
2023/5/2	7	366	Seq
2023/5/3	24	367	Seq
2023/5/4	6	368	Seq
2023/5/5	9	369	Seq
2023/5/6	5	370	Seq
2023/5/7	1	371	Seq
2023/5/9	5	373	Seq
2023/5/23	1	387	Seq
May-22	0	0	Date
Jun-22	-1	31	Date
Jul-22	0	61	Date
Aug-22	-1	92	Date
Sep-22	0	123	Date
Oct-22	-1	153	Date
Nov-22	0	184	Date
Dec-22	-1	214	Date
Jan-23	0	245	Date
Feb-23	-1	276	Date
Mar-23	0	304	Date
Apr-23	-1	335	Date
May-23	0	365	Date
