Gene	Percentage	Lineage
nsp1	0.028624269	BA.5.2
nsp2	0.07621177	BA.5.2
nsp3	0.163575135	BA.5.2
nsp4	0.028762283	BA.5.2
nsp5	0.017141438	BA.5.2
nsp6	0.020647013	BA.5.2
nsp7	0.004223253	BA.5.2
nsp8	0.009826653	BA.5.2
nsp9	0.007728829	BA.5.2
nsp10	0.009440212	BA.5.2
nsp11	0.00121453	BA.5.2
nsp12	0.042011704	BA.5.2
nsp13	0.03787126	BA.5.2
nsp14	0.038782157	BA.5.2
nsp15	0.018742409	BA.5.2
nsp16	0.018714806	BA.5.2
nsp1	0.019954534	CHN_BA524849
nsp2	0.067946451	CHN_BA524849
nsp3	0.13917656	CHN_BA524849
nsp4	0.026521849	CHN_BA524849
nsp5	0.01566052	CHN_BA524849
nsp6	0.023238191	CHN_BA524849
nsp7	0.003409952	CHN_BA524849
nsp8	0.011997979	CHN_BA524849
nsp9	0.011366507	CHN_BA524849
nsp10	0.009850972	CHN_BA524849
nsp11	0.002147007	CHN_BA524849
nsp12	0.041803486	CHN_BA524849
nsp13	0.030310685	CHN_BA524849
nsp14	0.035741349	CHN_BA524849
nsp15	0.017428644	CHN_BA524849
nsp16	0.014776459	CHN_BA524849
