Gene	Percentage	Lineage
nsp1	0.029306005	BF.7
nsp2	0.080186983	BF.7
nsp3	0.165228335	BF.7
nsp4	0.026429342	BF.7
nsp5	0.019597267	BF.7
nsp6	0.021395182	BF.7
nsp7	0.004674577	BF.7
nsp8	0.011506652	BF.7
nsp9	0.007011866	BF.7
nsp10	0.006832075	BF.7
nsp11	0.000359583	BF.7
nsp12	0.044768069	BF.7
nsp13	0.043509529	BF.7
nsp14	0.035418914	BF.7
nsp15	0.021035599	BF.7
nsp16	0.021934556	BF.7
nsp1	0.028619529	CHN_BF714
nsp2	0.068302068	CHN_BF714
nsp3	0.164742665	CHN_BF714
nsp4	0.031505532	CHN_BF714
nsp5	0.019240019	CHN_BF714
nsp6	0.025974026	CHN_BF714
nsp7	0.002405002	CHN_BF714
nsp8	0.014189514	CHN_BF714
nsp9	0.010822511	CHN_BF714
nsp10	0.013468013	CHN_BF714
nsp11	0.001924002	CHN_BF714
nsp12	0.033429533	CHN_BF714
nsp13	0.028379028	CHN_BF714
nsp14	0.028138528	CHN_BF714
nsp15	0.022366522	CHN_BF714
nsp16	0.016835017	CHN_BF714
