Lineage	CollectionDate5P	CollectionDate5PYear	TotalSeq	The403KSeq	SeqProp	TotalEvent	The403KEvent	EventProp
B	20200129	2020.07945205479	5021	0	0	7612	0	0	
A	20200125	2020.06849315068	1122	1	0.00089126559714795	1191	1	0.000839630562552477	
B.1	20200316	2020.20821917808	49548	0	0	44467	0	0	
Unassigned	20200708	2020.51506849315	5441	0	0	6714	0	0	
B.6	20200312	2020.19726027397	276	0	0	248	0	0	
B.1.1.529	20210506	2021.34520547945	227	0	0	518	0	0	
B.55	20200302	2020.1698630137	186	0	0	83	0	0	
B.1.429	20201215	2020.94520547945	28770	3	0.000104275286757039	20538	0	0	
B.1.617	20210320	2021.21917808219	399	0	0	570	0	0	
B.23	20200311	2020.19452054795	375	0	0	111	0	0	
B.19	20200404	2020.25753424658	28	0	0	16	0	0	
B.1.1	20200321	2020.22191780822	25734	0	0	21726	0	0	
B.20	20200403	2020.25479452055	43	0	0	12	0	0	
B.46	20200412	2020.27945205479	47	0	0	6	0	0	
B.47	20200312	2020.19726027397	53	0	0	13	0	0	
B.1.14	20200410	2020.27397260274	55	0	0	14	0	0	
B.15	20200318	2020.21369863014	59	0	0	22	0	0	
B.27	20200304	2020.17534246575	61	0	0	26	0	0	
B.57	20200314	2020.20273972603	65	0	0	20	0	0	
B.26	20200318	2020.21369863014	64	0	0	35	0	0	
B.52	20200318	2020.21369863014	85	0	0	57	0	0	
B.1.617.2	20210519	2021.38082191781	87932	0	0	88528	0	0	
B.10	20200316	2020.20821917808	173	0	0	47	0	0	
B.13	20200403	2020.25479452055	21	0	0	9	0	0	
B.18	20200317	2020.21095890411	27	0	0	5	0	0	
B.11	20200305	2020.17808219178	118	0	0	80	0	0	
B.1.421	20200820	2020.6301369863	140	0	0	79	0	0	
B.45	20200322	2020.22465753425	273	0	0	118	0	0	
B.4.5	20200321	2020.22191780822	73	0	0	29	0	0	
B.4	20200226	2020.15342465753	164	0	0	148	0	0	
B.4.4	20200314	2020.20273972603	28	0	0	12	0	0	
B.1.2	20200930	2020.7397260274	74037	2	2.70135202668936E-05	63850	2	3.13234142521535E-05	
B.1.384	20200403	2020.25479452055	288	0	0	78	0	0	
B.33	20200304	2020.17534246575	540	0	0	260	0	0	
B.1.258.17	20201217	2020.95068493151	1150	0	0	923	0	0	
B.1.1.161	20200404	2020.25753424658	80	0	0	136	0	0	
B.1.1.7	20210106	2021.01643835616	620345	184	0.000296609144911299	248812	2	8.03819751458933E-06	
B.1.595	20200325	2020.23287671233	2056	0	0	2078	0	0	
B.3	20200310	2020.19178082192	835	0	0	304	0	0	
B.3.1	20200316	2020.20821917808	1067	0	0	82	0	0	
B.1.1.164	20200323	2020.22739726027	192	0	0	70	0	0	
B.43	20200208	2020.10410958904	37	0	0	55	0	0	
B.28	20200312	2020.19726027397	282	0	0	84	0	0	
B.30	20200315	2020.20547945205	26	0	0	24	0	0	
B.29	20200307	2020.18356164384	238	0	0	97	0	0	
B.31	20200313	2020.2	271	0	0	121	0	0	
B.34	20200316	2020.20821917808	79	0	0	20	0	0	
B.32	20200313	2020.2	36	0	0	11	0	0	
B.35	20200320	2020.21917808219	110	0	0	40	0	0	
B.39	20200311	2020.19452054795	477	0	0	143	0	0	
B.40	20200310	2020.19178082192	2553	0	0	993	0	0	
B.58	20200310	2020.19178082192	73	0	0	47	0	0	
B.61	20200305	2020.17808219178	151	0	0	71	0	0	
B.60	20200320	2020.21917808219	80	0	0	30	0	0	
A.5	20200227	2020.15616438356	154	0	0	150	0	0	
A.6	20200309	2020.18904109589	125	0	0	32	0	0	
A.3	20200313	2020.2	219	0	0	152	0	0	
B.1.113	20200608	2020.43287671233	60	0	0	55	0	0	
A.28	20210103	2021.00821917808	125	0	0	120	0	0	
A.27	20210105	2021.01369863014	128	0	0	172	0	0	
A.4	20200319	2020.21643835616	31	0	0	9	0	0	
A.21	20210104	2021.01095890411	119	0	0	145	0	0	
A.29	20210303	2021.17260273973	106	0	0	64	0	0	
A.23.1	20201201	2020.90684931507	376	0	0	439	0	0	
A.23	20200930	2020.7397260274	20	0	0	39	0	0	
A.2	20200305	2020.17808219178	216	0	0	309	0	0	
A.2.2	20200321	2020.22191780822	217	0	0	61	0	0	
A.2.3	20200322	2020.22465753425	224	0	0	67	0	0	
A.2.5	20210207	2021.10136986301	786	0	0	1206	0	0	
A.2.5.1	20210331	2021.24931506849	31	0	0	64	0	0	
A.2.5.2	20210213	2021.11780821918	110	0	0	156	0	0	
A.1	20200304	2020.17534246575	2545	0	0	1154	0	0	
B.1.369	20200401	2020.24931506849	2238	0	0	1941	0	0	
B.1.260	20200401	2020.24931506849	106	0	0	125	0	0	
B.1.9.4	20200916	2020.70136986301	170	0	0	168	0	0	
B.1.258	20200828	2020.65205479452	5326	0	0	3929	0	0	
B.1.177.86	20210115	2021.04109589041	2463	0	0	1643	0	0	
B.1.395	20200313	2020.2	161	0	0	22	0	0	
B.1.1.49	20200330	2020.24657534247	118	0	0	10	0	0	
B.1.35	20200329	2020.24383561644	254	0	0	15	0	0	
B.1.1.372	20200321	2020.22191780822	1555	0	0	425	0	0	
B.1.415	20200325	2020.23287671233	34	0	0	33	0	0	
B.1.128	20200313	2020.2	23	0	0	6	0	0	
B.1.222	20200327	2020.23835616438	583	0	0	226	0	0	
B.1.23	20200324	2020.2301369863	130	0	0	39	0	0	
B.1.111	20200522	2020.38904109589	423	0	0	875	0	0	
B.1.78	20200324	2020.2301369863	59	0	0	50	0	0	
B.1.126	20200713	2020.52876712329	630	0	0	475	0	0	
B.1.560	20200922	2020.71780821918	122	0	0	382	0	0	
B.1.1.192	20200627	2020.48493150685	267	0	0	264	0	0	
B.1.1.89	20200323	2020.22739726027	142	0	0	51	0	0	
B.1.1.142	20200302	2020.1698630137	331	0	0	115	0	0	
B.1.1.39	20200804	2020.58630136986	1556	0	0	1386	0	0	
B.1.206	20200613	2020.44657534247	182	0	0	123	0	0	
B.1.1.10	20200319	2020.21643835616	775	0	0	363	0	0	
B.1.566	20200318	2020.21369863014	20	0	0	3	0	0	
B.1.1.307	20200901	2020.6602739726	2420	0	0	790	0	0	
B.1.215	20200327	2020.23835616438	111	0	0	40	0	0	
B.1.143	20200421	2020.30410958904	28	0	0	51	0	0	
B.1.1.222	20201007	2020.75890410959	3335	0	0	3492	0	0	
B.1.240	20200707	2020.51232876712	2646	0	0	2380	0	0	
B.1.1.59	20200609	2020.43561643836	226	0	0	39	0	0	
B.1.247	20200505	2020.34246575342	36	0	0	84	0	0	
B.1.517	20201110	2020.84931506849	1541	1	0.000648929266709929	1126	1	0.00088809946714032	
B.1.160.32	20201009	2020.76438356164	190	0	0	69	0	0	
B.1.1.57	20200501	2020.33150684932	32	0	0	84	0	0	
B.1.177	20200917	2020.70410958904	60405	2	3.31098419005049E-05	21153	0	0	
B.1.378	20200314	2020.20273972603	29	0	0	37	0	0	
B.1.1.1	20200321	2020.22191780822	2119	0	0	1218	0	0	
B.1.1.416	20201015	2020.78082191781	810	0	0	774	0	0	
B.1.239	20200809	2020.6	484	0	0	498	0	0	
B.1.160	20200831	2020.6602739726	15005	0	0	9640	0	0	
B.1.473	20200402	2020.25205479452	57	0	0	96	0	0	
B.1.179	20200525	2020.39726027397	22	0	0	29	0	0	
B.1.1.135	20200619	2020.46301369863	123	0	0	103	0	0	
B.1.187	20200329	2020.24383561644	27	0	0	8	0	0	
P.1	20210325	2021.23287671233	18164	0	0	20791	0	0	
B.1.177.31	20201222	2020.96438356164	35	0	0	89	0	0	
B.1.382	20200324	2020.2301369863	101	0	0	37	0	0	
B.1.545	20200323	2020.22739726027	45	0	0	17	0	0	
B.1.177.45	20200919	2020.7095890411	2579	0	0	442	0	0	
B.1.1.63	20200718	2020.54246575342	882	0	0	443	0	0	
B.1.103	20200417	2020.29315068493	57	0	0	31	0	0	
B.1.416.1	20200821	2020.63287671233	382	0	0	236	0	0	
B.1.69	20200306	2020.18082191781	24	0	0	8	0	0	
B.1.177.20	20200924	2020.72328767123	745	0	0	217	0	0	
B.1.177.81	20201103	2020.8301369863	2522	0	0	1558	0	0	
B.1.81	20200403	2020.25479452055	33	0	0	13	0	0	
B.1.243	20200707	2020.51232876712	8094	0	0	7402	0	0	
B.1.70	20200317	2020.21095890411	39	0	0	8	0	0	
B.1.543	20200916	2020.70136986301	34	0	0	48	0	0	
B.1.67	20200325	2020.23287671233	36	0	0	1	0	0	
B.1.201	20200323	2020.22739726027	202	0	0	59	0	0	
B.1.131	20201015	2020.78082191781	31	0	0	37	0	0	
B.1.379	20200319	2020.21643835616	60	0	0	12	0	0	
B.1.188	20200815	2020.61643835616	28	0	0	14	0	0	
B.1.390	20200403	2020.25479452055	65	0	0	50	0	0	
B.1.106	20200501	2020.33150684932	24	0	0	12	0	0	
