Lineage	MedianACE2	P25ACE2	P75ACE2	MedianESC	P25ESC	P75ESC
BA.4.1	-0.19986	-0.51001	0	33.328514283792	5.48563315270097	79.1583855481493
BA.4.6	-0.23164	-0.60823	-0.14	19.5071774330072	2.71826438874416	59.5493203999425
BA.4	-0.17943	-0.4092	0	40.4731734046857	5.48563315270097	66.9543870157572
BA.5.1.1	-0.16177	-0.32661	-0.13913	47.1238060185524	5.48563315270097	79.1583855481493
BA.5.1.10	-0.16177	-0.57828	-0.04225	24.1747024192929	2.1829896110497	60.3426058790834
BA.5.1.22	-0.13913	-0.41639	0.14804	19.5071774330072	5.25030928998365	60.3426058790834
BA.5.1.23	-0.23164	-0.6275	-0.14417	58.770045326426	16.6102079822645	117.309596885352
BA.5.1.30	-0.23164	-0.6071	-0.13913	16.6744008078041	5.25030928998365	57.5844512211148
BA.5.1	-0.19986	-0.51001	0	32.9912966754467	4.84058623930651	60.3426058790834
BA.5.2.1	-0.21531	-0.51001	-0.02973	33.328514283792	4.47770241476594	79.1583855481493
BA.5.2.20	-0.16177	-0.51001	0	33.328514283792	4.3258043070805	58.770045326426
BA.5.2.9	-0.19442	-0.32661	-0.01631	47.7747925052589	3.76362905332399	96.2338232899047
BA.5.2	-0.19986	-0.51001	-0.04225	27.180160334777	4.47770241476594	68.8307174791297
BA.5.5	-0.19986	-0.49525	0	32.2491783205591	5.48563315270097	70.1239000815141
BA.5.6	-0.19986	-0.51001	-0.08983	51.3012211648285	5.54749639321239	79.1583855481493
BA.5	-0.13913	-0.29371	0.11977	40.4731734046857	2.29989847753243	60.3426058790834
BE.1.1	-0.19986	-0.51001	-0.06924	34.148649421272	5.60495914989168	60.3426058790834
BE.1	-0.23164	-0.35102	-0.07136	34.6031955619513	8.46999357566618	79.1583855481493
BE.3	-0.23164	-0.50528	-0.09436	36.367261945124	11.4496694673899	117.309596885352
BF.10	-0.23164	-0.51001	-0.04225	28.2597706844146	2.54599998033627	79.1583855481493
BF.26	-0.19986	-0.32303	-0.07136	47.7747925052589	11.4496694673899	66.9543870157572
BF.5	-0.17021	-0.51001	-0.04225	28.3592549712133	2.71826438874416	60.3426058790834
BF.7	-0.23164	-0.68223	-0.02169	23.5095229289878	2.99332671244855	61.0962990418702
BQ.1.1.32	-0.32987	-0.6275	0	19.4999605820315	0.635122864949134	43.3494152769054
BQ.1.1	-0.34249	-0.83625	-0.10405	11.5675375239318	2.8119590895389	40.4731734046857
BQ.1	-0.29371	-0.83456	0	16.6744008078041	2.8119590895389	60.3426058790834
CHN4849	-0.15571	-0.32442	0.11977	22.2529335664812	4.07513596820317	60.3426058790834
node_1376295	-0.19986	-0.51001	0	12.14716689291	2.21790122271648	33.328514283792
node_1344263	-0.15571	-0.25369	0.03168	22.7443490807449	0.616126046317416	79.1583855481493
node_1352180	-0.15571	-0.34249	0.11977	22.2529335664812	4.07513596820317	60.3426058790834
node_1376295	-0.19986	-0.51001	0	12.14716689291	2.21790122271648	33.328514283792
