Clade	Epitope	EscProp	group	EpiMax	NormalByMax
BA.4.1	A1	0.024291498	BA45	0.125	0.194331984
BA.4.1	A2	0.012145749	BA45	0.121621622	0.099865047
BA.4.1	B	0.04048583	BA45	0.178571429	0.226720648
BA.4.1	C/D1	0.133603239	BA45	0.178571429	0.748178138
BA.4.1	D2	0.303643725	BA45	0.389830508	0.778912163
BA.4.1	D3	0.174089069	BA45	0.271186441	0.641953441
BA.4.1	D4	0.064777328	BA45	0.150684932	0.429885904
BA.4.1	E1/E2.1	0.344129555	BA45	0.457627119	0.751986805
BA.4.1	E2.2	0.020242915	BA45	0.031690141	0.638776428
BA.4.1	E3	0.016194332	BA45	0.041666667	0.388663968
BA.4.1	F1	0.028340081	BA45	0.040540541	0.699055331
BA.4.1	F3	0.020242915	BA45	0.020242915	1
BA.4	A1	0.032467532	BA45	0.125	0.25974026
BA.4	A2	0.019480519	BA45	0.121621622	0.16017316
BA.4	B	0.019480519	BA45	0.178571429	0.109090909
BA.4	C/D1	0.051948052	BA45	0.178571429	0.290909091
BA.4	D2	0.266233766	BA45	0.389830508	0.682947487
BA.4	D3	0.168831169	BA45	0.271186441	0.622564935
BA.4	D4	0.051948052	BA45	0.150684932	0.344746163
BA.4	E1/E2.1	0.448051948	BA45	0.457627119	0.979076479
BA.4	E2.2	0.019480519	BA45	0.031690141	0.614718615
BA.4	E3	0	BA45	0.041666667	0
BA.4	F1	0.006493506	BA45	0.040540541	0.16017316
BA.4	F3	0	BA45	0.020242915	0
BA.5.1.1	A1	0.01369863	BA45	0.125	0.109589041
BA.5.1.1	A2	0	BA45	0.121621622	0
BA.5.1.1	B	0	BA45	0.178571429	0
BA.5.1.1	C/D1	0.068493151	BA45	0.178571429	0.383561644
BA.5.1.1	D2	0.383561644	BA45	0.389830508	0.983918999
BA.5.1.1	D3	0.219178082	BA45	0.271186441	0.808219178
BA.5.1.1	D4	0.150684932	BA45	0.150684932	1
BA.5.1.1	E1/E2.1	0.383561644	BA45	0.457627119	0.838153222
BA.5.1.1	E2.2	0.01369863	BA45	0.031690141	0.432267884
BA.5.1.1	E3	0.01369863	BA45	0.041666667	0.328767123
BA.5.1.1	F1	0.01369863	BA45	0.040540541	0.337899543
BA.5.1.1	F3	0	BA45	0.020242915	0
BA.5.1.10	A1	0.053571429	BA45	0.125	0.428571429
BA.5.1.10	A2	0.035714286	BA45	0.121621622	0.293650794
BA.5.1.10	B	0.017857143	BA45	0.178571429	0.1
BA.5.1.10	C/D1	0.089285714	BA45	0.178571429	0.5
BA.5.1.10	D2	0.214285714	BA45	0.389830508	0.549689441
BA.5.1.10	D3	0.053571429	BA45	0.271186441	0.197544643
BA.5.1.10	D4	0.089285714	BA45	0.150684932	0.592532468
BA.5.1.10	E1/E2.1	0.267857143	BA45	0.457627119	0.58531746
BA.5.1.10	E2.2	0.017857143	BA45	0.031690141	0.563492063
BA.5.1.10	E3	0	BA45	0.041666667	0
BA.5.1.10	F1	0	BA45	0.040540541	0
BA.5.1.10	F3	0	BA45	0.020242915	0
BA.5.1.22	A1	0.033333333	BA45	0.125	0.266666667
BA.5.1.22	A2	0.016666667	BA45	0.121621622	0.137037037
BA.5.1.22	B	0.033333333	BA45	0.178571429	0.186666667
BA.5.1.22	C/D1	0.05	BA45	0.178571429	0.28
BA.5.1.22	D2	0.166666667	BA45	0.389830508	0.427536232
BA.5.1.22	D3	0.066666667	BA45	0.271186441	0.245833333
BA.5.1.22	D4	0.033333333	BA45	0.150684932	0.221212121
BA.5.1.22	E1/E2.1	0.433333333	BA45	0.457627119	0.94691358
BA.5.1.22	E2.2	0.016666667	BA45	0.031690141	0.525925926
BA.5.1.22	E3	0	BA45	0.041666667	0
BA.5.1.22	F1	0	BA45	0.040540541	0
BA.5.1.22	F3	0	BA45	0.020242915	0
BA.5.1.23	A1	0	BA45	0.125	0
BA.5.1.23	A2	0	BA45	0.121621622	0
BA.5.1.23	B	0.033898305	BA45	0.178571429	0.189830508
BA.5.1.23	C/D1	0.084745763	BA45	0.178571429	0.474576271
BA.5.1.23	D2	0.389830508	BA45	0.389830508	1
BA.5.1.23	D3	0.271186441	BA45	0.271186441	1
BA.5.1.23	D4	0.13559322	BA45	0.150684932	0.899845917
BA.5.1.23	E1/E2.1	0.457627119	BA45	0.457627119	1
BA.5.1.23	E2.2	0.016949153	BA45	0.031690141	0.534839925
BA.5.1.23	E3	0	BA45	0.041666667	0
BA.5.1.23	F1	0	BA45	0.040540541	0
BA.5.1.23	F3	0	BA45	0.020242915	0
BA.5.1.30	A1	0.032258065	BA45	0.125	0.258064516
BA.5.1.30	A2	0.016129032	BA45	0.121621622	0.132616487
BA.5.1.30	B	0.016129032	BA45	0.178571429	0.090322581
BA.5.1.30	C/D1	0.161290323	BA45	0.178571429	0.903225806
BA.5.1.30	D2	0.274193548	BA45	0.389830508	0.703366059
BA.5.1.30	D3	0.14516129	BA45	0.271186441	0.535282258
BA.5.1.30	D4	0.032258065	BA45	0.150684932	0.214076246
BA.5.1.30	E1/E2.1	0.322580645	BA45	0.457627119	0.704898447
BA.5.1.30	E2.2	0.016129032	BA45	0.031690141	0.508960573
BA.5.1.30	E3	0.016129032	BA45	0.041666667	0.387096774
BA.5.1.30	F1	0.032258065	BA45	0.040540541	0.795698925
BA.5.1.30	F3	0	BA45	0.020242915	0
BA.5.1	A1	0.039473684	BA45	0.125	0.315789474
BA.5.1	A2	0.031578947	BA45	0.121621622	0.259649123
BA.5.1	B	0.015789474	BA45	0.178571429	0.088421053
BA.5.1	C/D1	0.089473684	BA45	0.178571429	0.501052632
BA.5.1	D2	0.230263158	BA45	0.389830508	0.590675057
BA.5.1	D3	0.144736842	BA45	0.271186441	0.533717105
BA.5.1	D4	0.031578947	BA45	0.150684932	0.209569378
BA.5.1	E1/E2.1	0.369736842	BA45	0.457627119	0.80794347
BA.5.1	E2.2	0.022368421	BA45	0.031690141	0.705847953
BA.5.1	E3	0.007894737	BA45	0.041666667	0.189473684
BA.5.1	F1	0.006578947	BA45	0.040540541	0.162280702
BA.5.1	F3	0.001315789	BA45	0.020242915	0.065
BA.5.2.1	A1	0.046095955	BA45	0.125	0.368767639
BA.5.2.1	A2	0.031044214	BA45	0.121621622	0.25525243
