Seq	Date	NeutralPressure	Lineage	Days2T1
Jan-22	Jan-22	133.280017	BF7MaxMonth	0
Feb-22	Feb-22	133.280017	BF7MaxMonth	31
Mar-22	Mar-22	133.280017	BF7MaxMonth	59
Apr-22	Apr-22	133.280017	BF7MaxMonth	90
May-22	May-22	133.280017	BF7MaxMonth	120
Jun-22	Jun-22	125.7329469	BF7MaxMonth	151
Jul-22	Jul-22	107.1157283	BF7MaxMonth	181
Aug-22	Aug-22	107.0049915	BF7MaxMonth	212
hCoV-19/Beijing/BJCDC-2547/2022	2022/8/15	133.280017	CHN_BF7	226
Sep-22	Sep-22	107.1157283	BF7MaxMonth	243
hCoV-19/InnerMongolia/IVDC-632/2022	2022/9/27	133.280017	CHN_BF7	269
Oct-22	Oct-22	23.80550986	BF7MaxMonth	273
hCoV-19/InnerMongolia/IVDC-633/2022	2022/10/2	133.280017	CHN_BF7	274
hCoV-19/InnerMongolia/IVDC-636/2022	2022/10/2	133.280017	CHN_BF7	274
hCoV-19/InnerMongolia/IVDC-635/2022	2022/10/2	133.280017	CHN_BF7	274
hCoV-19/InnerMongolia/IVDC-634/2022	2022/10/3	133.280017	CHN_BF7	275
hCoV-19/InnerMongolia/IVDC-637/2022	2022/10/6	133.280017	CHN_BF7	278
hCoV-19/Beijing/BJCDC-2231/2022	2022/10/7	133.280017	CHN_BF7	279
hCoV-19/InnerMongolia/IVDC-638/2022	2022/10/8	133.280017	CHN_BF7	280
hCoV-19/Guangdong/SZTH-057/2022	2022/10/9	133.280017	CHN_BF7	281
hCoV-19/Guangdong/SZTH-056/2022	2022/10/9	133.280017	CHN_BF7	281
hCoV-19/Guangdong/SZTH-058/2022	2022/10/10	133.280017	CHN_BF7	282
hCoV-19/Tianjin/TJCDC-1516/2022	2022/10/10	133.280017	CHN_BF7	282
hCoV-19/Tianjin/TJCDC-1515/2022	2022/10/10	133.280017	CHN_BF7	282
hCoV-19/Beijing/BJCDC-2344/2022	2022/10/19	133.280017	CHN_BF7	291
hCoV-19/Tianjin/TJCDC-1563/2022	2022/10/19	133.280017	CHN_BF7	291
hCoV-19/Tianjin/TJCDC-1577/2022	2022/10/22	133.280017	CHN_BF7	294
hCoV-19/Beijing/BJCDC-2449/2022	2022/10/25	133.280017	CHN_BF7	297
hCoV-19/Beijing/BJCDC-2445/2022	2022/10/27	133.280017	CHN_BF7	299
hCoV-19/Beijing/BJCDC-2439/2022	2022/10/27	133.280017	CHN_BF7	299
hCoV-19/Tianjin/TJCDC-1590/2022	2022/10/27	133.280017	CHN_BF7	299
hCoV-19/Shandong/SDCDC-0090/2022	2022/10/27	133.280017	CHN_BF7	299
hCoV-19/Beijing/BJCDC-2446/2022	2022/10/28	133.280017	CHN_BF7	300
hCoV-19/Beijing/BJCDC-2463/2022	2022/10/28	133.280017	CHN_BF7	300
hCoV-19/Beijing/BJCDC-2468/2022	2022/10/28	133.280017	CHN_BF7	300
hCoV-19/Beijing/BJCDC-2477/2022	2022/10/28	133.280017	CHN_BF7	300
hCoV-19/Tianjin/TJCDC-1595/2022	2022/10/28	133.280017	CHN_BF7	300
hCoV-19/Beijing/BJCDC-2447/2022	2022/10/28	133.280017	CHN_BF7	300
hCoV-19/Beijing/BJCDC-2473/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2464/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2469/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2497/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Tianjin/TJCDC-1598/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2472/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2475/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2476/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2466/2022	2022/10/29	133.280017	CHN_BF7	301
hCoV-19/Beijing/BJCDC-2485/2022	2022/10/30	133.280017	CHN_BF7	302
hCoV-19/Beijing/BJCDC-2482/2022	2022/10/30	133.280017	CHN_BF7	302
hCoV-19/Tianjin/TJCDC-1602/2022	2022/10/30	133.280017	CHN_BF7	302
hCoV-19/Tianjin/TJCDC-1600/2022	2022/10/30	133.280017	CHN_BF7	302
hCoV-19/Beijing/BJCDC-2483/2022	2022/10/30	133.280017	CHN_BF7	302
hCoV-19/Beijing/BJCDC-2494/2022	2022/10/31	133.280017	CHN_BF7	303
hCoV-19/Beijing/BJCDC-2528/2022	2022/10/31	133.280017	CHN_BF7	303
hCoV-19/Tianjin/TJCDC-1603/2022	2022/10/31	133.280017	CHN_BF7	303
hCoV-19/Tianjin/TJCDC-1605/2022	2022/10/31	133.280017	CHN_BF7	303
hCoV-19/Tianjin/TJCDC-1604/2022	2022/10/31	133.280017	CHN_BF7	303
hCoV-19/Beijing/BJCDC-2543/2022	2022/10/31	133.280017	CHN_BF7	303
hCoV-19/Beijing/BJCDC-2501/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2545/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2503/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2544/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2502/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2537/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2546/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Tianjin/TJCDC-1607/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2542/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2541/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2540/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2535/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2536/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2538/2022	2022/11/1	133.280017	CHN_BF7	304
hCoV-19/Beijing/BJCDC-2539/2022	2022/11/1	133.280017	CHN_BF7	304
Nov-22	Nov-22	103.8325619	BF7MaxMonth	304
hCoV-19/Beijing/BJCDC-2552/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2562/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2585/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2551/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2575/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2577/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2534/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2533/2022	2022/11/2	133.280017	CHN_BF7	305
hCoV-19/Beijing/BJCDC-2560/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2553/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2566/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2564/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2593/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2594/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2565/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2554/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2556/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2588/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2555/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2550/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2605/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2591/2022	2022/11/3	133.280017	CHN_BF7	306
hCoV-19/Beijing/BJCDC-2563/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2567/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2633/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2632/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2589/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2559/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2558/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2557/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2711/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2590/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2587/2022	2022/11/4	133.280017	CHN_BF7	307
hCoV-19/Beijing/BJCDC-2584/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2602/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2604/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2592/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2599/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2612/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2600/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2620/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2607/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2603/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2583/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2601/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2658/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2598/2022	2022/11/5	133.280017	CHN_BF7	308
hCoV-19/Beijing/BJCDC-2663/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2623/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2617/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2613/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2615/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2622/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2606/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2619/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2609/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2621/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2614/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2618/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2638/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2631/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2624/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2676/2022	2022/11/6	133.280017	CHN_BF7	309
hCoV-19/Beijing/BJCDC-2636/2022	2022/11/6	133.280017	CHN_BF7	309
