"","BA.5","BA.4","BA.4.1","BA.5.1","BA.5.1.1","BA.5.1.10","BA.5.1.22","BA.5.1.23","BA.5.1.30","BA.5.2","BA.5.2.1","BA.5.2.20","BA.5.2.9","BA.5.5","BA.5.6","BE.1","BE.1.1","BE.3","BF.10","BF.26","BF.5","CHN_BA524849","BF.7","BQ.1","BQ.1.1","BA.4.6","CHN_BF714"
"BA.5",1,0.51700820256206,0.505915326686964,0.583248958419067,0.397753906959765,0.374983999943227,0.369269365771477,0.386900363107424,0.37061849163126,0.561022911865216,0.583377352954245,0.357810665321375,0.399692399168212,0.548246650160956,0.502370155035784,0.471797434582208,0.433748467683649,0.353676984352488,0.444393005522778,0.385091163075773,0.41980017899275,0.413691597562925,0.452488840451397,0.474984968256511,0.497021090054285,0.520016488893065,0.337614327325405
"BA.4",0.51700820256206,1,0.683943282667102,0.709405887729054,0.492182030655837,0.474935462341368,0.470484648895756,0.486981634084362,0.47090025639091,0.712695981101258,0.733635630484796,0.464452201645512,0.528843245629466,0.679669826273711,0.619862068648778,0.586980469229731,0.555133645106707,0.448426174977466,0.568398532075544,0.484413014168594,0.546314350595772,0.533328640220165,0.578066598731187,0.605791680422736,0.664207417909237,0.688553474065998,0.445646534618638
"BA.4.1",0.505915326686964,0.683943282667102,1,0.76012689530076,0.546776889630694,0.513992614535402,0.494849619844108,0.506964689426081,0.505959349470854,0.768742494779649,0.783336674599315,0.509807899425978,0.565742426789884,0.733055543758149,0.677507388402704,0.619133033722059,0.576933922417284,0.489793379716537,0.617771023239032,0.521635165879202,0.587912428702457,0.561459588579556,0.629390820497268,0.653656213993797,0.7129337550948,0.747665246357675,0.468199194841135
"BA.5.1",0.583248958419067,0.709405887729054,0.76012689530076,1,0.604601436027316,0.578845171839775,0.553522070620707,0.58565488848921,0.553782087537601,0.841388904686079,0.867737369607264,0.551043614839616,0.609628483474343,0.823256758530445,0.720724954864863,0.682025538600139,0.645247599336209,0.538386815059303,0.676669769776256,0.582127356996527,0.653907249733096,0.605929966421752,0.68742475756096,0.706270731389946,0.764178270678441,0.767533329464471,0.507359032870126
"BA.5.1.1",0.397753906959765,0.492182030655837,0.546776889630694,0.604601436027316,1,0.410000729344023,0.392050967059097,0.419440054488848,0.394732517929828,0.5965349128116,0.616867990021296,0.390224825389571,0.443664089210286,0.583985583212889,0.509096232545535,0.481804697203962,0.442694524045122,0.384517388172652,0.485384410054515,0.411669789049671,0.465433673512244,0.424442795718686,0.495902334500188,0.501311356680795,0.547308960676305,0.545161195465494,0.363959065943638
"BA.5.1.10",0.374983999943227,0.474935462341368,0.513992614535402,0.578845171839775,0.410000729344023,1,0.372173337173312,0.389219471072015,0.3738963425127,0.567537106780924,0.588774446307797,0.358534029686725,0.414802682620049,0.552580026163542,0.479622844204849,0.452862390808153,0.428742155400743,0.367823281674341,0.461162936002209,0.392479598044699,0.445828271843798,0.409833956489106,0.467097417503949,0.484527785626668,0.511457495019426,0.505286129222053,0.341315760106473
"BA.5.1.22",0.369269365771477,0.470484648895756,0.494849619844108,0.553522070620707,0.392050967059097,0.372173337173312,1,0.36373918586685,0.371299732498838,0.563317449597976,0.561815058790056,0.349641270872051,0.422850022498809,0.518944403156766,0.494853001697234,0.464066778729684,0.439171880286005,0.358262830050359,0.449944250503383,0.381412482895159,0.417455478234575,0.406830234354374,0.435141737584342,0.486579020031482,0.527263279453089,0.509536662969906,0.334959279024183
"BA.5.1.23",0.386900363107424,0.486981634084362,0.506964689426081,0.58565488848921,0.419440054488848,0.389219471072015,0.36373918586685,1,0.371892984200024,0.573749898309972,0.58883553598796,0.36109424407966,0.413048177863899,0.57516186322422,0.492675403875319,0.463143428467697,0.426736022884583,0.373012554474488,0.461232934812896,0.394272878736578,0.435866058036838,0.413886194155918,0.474246432418303,0.478730090668134,0.518079592453599,0.52561153761703,0.352107940839006
"BA.5.1.30",0.37061849163126,0.47090025639091,0.505959349470854,0.553782087537601,0.394732517929828,0.3738963425127,0.371299732498838,0.371892984200024,1,0.549332969852271,0.569680513415371,0.371483340009956,0.411589174146734,0.533397531210422,0.491992727401171,0.445616972698778,0.414831593031727,0.347580822241608,0.440970762333894,0.367846520596572,0.43285742771827,0.404060671358656,0.441243226110261,0.471795332725013,0.508924570488433,0.517203559240729,0.328419652162213
"BA.5.2",0.561022911865216,0.712695981101258,0.768742494779649,0.841388904686079,0.5965349128116,0.567537106780924,0.563317449597976,0.573749898309972,0.549332969852271,1,0.866749534928181,0.560066702230419,0.625138491785131,0.798282813518608,0.728241819076446,0.685594552579016,0.644000015353806,0.541732169084404,0.692246858354787,0.577185388603519,0.659503272597098,0.630938799199574,0.687832226743962,0.722367681869089,0.794222779721242,0.785519552310977,0.52486093685904
