"","BA.5","BA.4","BA.4.1","BA.5.1","BA.5.1.1","BA.5.1.10","BA.5.1.22","BA.5.1.23","BA.5.1.30","BA.5.2","BA.5.2.1","BA.5.2.20","BA.5.2.9","BA.5.5","BA.5.6","BE.1","BE.1.1","BE.3","BF.10","BF.26","BF.5","CHN_BA524849","BF.7","BQ.1","BQ.1.1","BA.4.6","CHN_BF714"
"BA.5",1,0.504568161866621,0.483441898862442,0.573839690873554,0.360908642183196,0.373156207152576,0.358711717483375,0.362904889219479,0.342341258371889,0.552697233822103,0.569553362873728,0.367345600762001,0.371755472801345,0.530927736672136,0.473100317716695,0.452597620354883,0.428559119264392,0.326115744013575,0.430409408141668,0.356095801949344,0.395874011719104,0.429284670234374,0.442729091877786,0.436937330025759,0.457915129470521,0.501784108570091,0.315353463274446
"BA.4",0.504568161866621,1,0.641611306762702,0.676709958095168,0.442311720204959,0.44076723314377,0.439510296942622,0.466742988544398,0.433692568208773,0.690503070654048,0.702970424801475,0.457283030085517,0.482544595791922,0.64010169431469,0.587519126140962,0.544985659047706,0.534585256055336,0.41426574923424,0.539931857975584,0.44444505606182,0.511442385321811,0.534778119923081,0.545207963848419,0.553534687461411,0.611078026289744,0.653326981807697,0.407203994120398
"BA.4.1",0.483441898862442,0.641611306762702,1,0.72270750024809,0.502847718755775,0.496229772217363,0.455587538456253,0.482742573100225,0.472704535949,0.741592031675823,0.76348787077629,0.513010910474757,0.529125560987301,0.698665992655975,0.649015372359226,0.571043635761825,0.554236857186023,0.464618891333257,0.590993188958122,0.481005751696376,0.55151531527905,0.554322282213812,0.595411477624967,0.602918138420802,0.660988237521354,0.718921607290441,0.420933624290889
"BA.5.1",0.573839690873554,0.676709958095168,0.72270750024809,1,0.570290490202578,0.565898439844839,0.52156691015499,0.564808748418181,0.509496627296832,0.823167691605118,0.86121869531035,0.562823746419495,0.569120873883353,0.804987226472869,0.685335979150273,0.642625030378302,0.632536886448802,0.508278878566603,0.650250972494119,0.545061381078827,0.627773281113357,0.608605051490596,0.66455014797115,0.652966953959304,0.712347087382352,0.733067616513576,0.482432269236863
"BA.5.1.1",0.360908642183196,0.442311720204959,0.502847718755775,0.570290490202578,1,0.383091844505907,0.345792847080876,0.389906693008978,0.361534206929505,0.55566102698474,0.581948252984846,0.373582874544187,0.400351605932716,0.548165982166163,0.471874795291635,0.430324118632893,0.417401682045544,0.350050734691995,0.447257545421231,0.375176811699433,0.427720060944566,0.404720630351169,0.440653290096011,0.43439624940409,0.484369637636668,0.495391439911457,0.311728799100955
"BA.5.1.10",0.373156207152576,0.44076723314377,0.496229772217363,0.565898439844839,0.383091844505907,1,0.334920586809847,0.367147757664664,0.349379613698229,0.559667480784728,0.575262371102794,0.387047183427913,0.378302443371779,0.530619977400643,0.453352599812306,0.415167515510482,0.398075807062563,0.339509855367591,0.447014429467819,0.366849565977216,0.424559481254616,0.404824367117196,0.449320283583988,0.439044321377193,0.471684974498297,0.484950939249081,0.320695506152854
"BA.5.1.22",0.358711717483375,0.439510296942622,0.455587538456253,0.52156691015499,0.345792847080876,0.334920586809847,1,0.337747723441565,0.338319175812821,0.540766721982913,0.532624403134821,0.357659675499125,0.392172316270875,0.487532830885393,0.480428817083379,0.428607087861416,0.414547819465574,0.333165124766622,0.433316246107145,0.351330183504355,0.397025298797368,0.407498386478129,0.403147150001001,0.456908303060855,0.498096891574224,0.475088844944855,0.305428806545112
"BA.5.1.23",0.362904889219479,0.466742988544398,0.482742573100225,0.564808748418181,0.389906693008978,0.367147757664664,0.337747723441565,1,0.358107367842275,0.556926940515013,0.587925901892524,0.37210251283655,0.386225343745763,0.559209069066402,0.464346553145379,0.438652816765217,0.418329356125973,0.363439926968881,0.439233548509779,0.367071673957215,0.422696323267371,0.411671834650239,0.460642409543955,0.438168929378919,0.475576485507865,0.492778239103237,0.333835194413988
"BA.5.1.30",0.342341258371889,0.433692568208773,0.472704535949,0.509496627296832,0.361534206929505,0.349379613698229,0.338319175812821,0.358107367842275,1,0.523725440092326,0.550463563667705,0.37364989947144,0.3703150664549,0.49994314231989,0.455570139001141,0.415295842683981,0.381787040272783,0.3202088252105,0.41098939791088,0.327028755818052,0.397772912102318,0.395398678920245,0.415401494910897,0.428598867163291,0.466202782115716,0.483675486826725,0.311307990748406
"BA.5.2",0.552697233822103,0.690503070654048,0.741592031675823,0.823167691605118,0.55566102698474,0.559667480784728,0.540766721982913,0.556926940515013,0.523725440092326,1,0.860893191841014,0.578306438404835,0.587024913175173,0.780406784640301,0.712182590427138,0.661047555076517,0.641540802094507,0.524021446556013,0.679991536639326,0.539582002474537,0.635677684240969,0.645732771906689,0.665379125840072,0.686201179441701,0.764534310217566,0.766788430182594,0.507737342670017
