"","BA.5","BA.4","BA.4.1","BA.5.1","BA.5.1.1","BA.5.1.10","BA.5.1.22","BA.5.1.23","BA.5.1.30","BA.5.2","BA.5.2.1","BA.5.2.20","BA.5.2.9","BA.5.5","BA.5.6","BE.1","BE.1.1","BE.3","BF.10","BF.26","BF.5","CHN_BA524849","BF.7","BQ.1","BQ.1.1","BA.4.6","CHN_BF714"
"BA.5",1,0.681096814037617,0.504597387598831,0.723712004711068,0.483461393241379,0.524051222001927,0.712713597014723,0.486562697479994,0.344366886161671,0.605847426730118,0.605127939365763,0.411993724478865,0.455403390356251,0.586891860487907,0.54215375731108,0.488766107816811,0.682468787056261,0.442068493657763,0.466818487800362,0.512097544836134,0.580899368195191,0.680477809444653,0.463014004462944,0.496734680151117,0.270905307652993,0.428406863982786,0.275423589340851
"BA.4",0.681096814037617,1,0.715703089013149,0.896181045080346,0.683466694496818,0.596912638295207,0.708029242252078,0.716383903397341,0.534822876362554,0.753822889253361,0.857805876802499,0.508659867685994,0.786519376337956,0.825996455897056,0.782729468820513,0.674097764881681,0.735892735450513,0.568751036647152,0.596627150728871,0.718858516977787,0.754170617169232,0.618986930278784,0.519619557946835,0.403019239678987,0.252806674097255,0.564290724180983,0.149350784347399
"BA.4.1",0.504597387598831,0.715703089013149,1,0.789778451246768,0.752777619377255,0.605128600956326,0.470509689910628,0.752223094862588,0.669218173716427,0.848274179990981,0.864189852190932,0.615726865081545,0.804806822296124,0.809321368450924,0.842498936652243,0.791930757240394,0.680557614046592,0.692530369000199,0.797909666645744,0.700185113349263,0.753161389186019,0.644525774123487,0.563513567908425,0.30024125790291,0.35628838585491,0.711180906986586,0.344410417897
"BA.5.1",0.723712004711068,0.896181045080346,0.789778451246768,1,0.66804763549007,0.608864346796251,0.75986587763201,0.744634248795135,0.584307081327691,0.830609023853961,0.910637020331121,0.614779263512764,0.812965425785983,0.839890877352674,0.819133934043827,0.72710686391402,0.805395713899996,0.65316475856043,0.708107430876719,0.747435137013588,0.788532756951398,0.689340623229999,0.614789037677656,0.427127664745492,0.323178562138698,0.65978061964647,0.242114633395155
"BA.5.1.1",0.483461393241379,0.683466694496818,0.752777619377255,0.66804763549007,1,0.624640796297657,0.47482536779958,0.780652299967918,0.630007529435362,0.737575215084243,0.779170649615043,0.507148325673024,0.761858354648579,0.746917919568694,0.824853970501875,0.650943327436747,0.660045498901934,0.607343979758735,0.685015239769672,0.598506840877791,0.731558582013481,0.536177205207171,0.400472412882652,0.322021263891042,0.275921608279596,0.665326751216072,0.30145259817522
"BA.5.1.10",0.524051222001927,0.596912638295207,0.605128600956326,0.608864346796251,0.624640796297657,1,0.492568211679844,0.507966293471892,0.542028147412902,0.588139596178734,0.613590676650486,0.525380675613088,0.525082264488754,0.53993091451449,0.672749368071036,0.448231938919619,0.549961072841943,0.395486211068412,0.534678446265699,0.428356125588123,0.629197314526877,0.574888874038869,0.450471716782531,0.295715276261761,0.26169276962279,0.519637975768352,0.224894444105769
"BA.5.1.22",0.712713597014723,0.708029242252078,0.470509689910628,0.75986587763201,0.47482536779958,0.492568211679844,1,0.532846337940759,0.386612135494337,0.562237072354384,0.600285841022369,0.482805358660576,0.506875889212591,0.548056660908184,0.557705164376952,0.389004477338908,0.691475720839769,0.353035289459162,0.449569037563187,0.43548332802957,0.583869372042132,0.562906670066512,0.435370431569328,0.4040060857038,0.235208112915904,0.381742547505198,0.164152715431765
"BA.5.1.23",0.486562697479994,0.716383903397341,0.752223094862588,0.744634248795135,0.780652299967918,0.507966293471892,0.532846337940759,1,0.59030544813491,0.799811119280343,0.802877119889627,0.487236548558464,0.754352481503849,0.738633564606763,0.757490910207306,0.676334652994913,0.709669387563527,0.661576864822653,0.673561990650209,0.646647715132164,0.730893551822733,0.538978673386165,0.41310646627837,0.343929791621054,0.278206206967082,0.606409628072566,0.248793533899273
"BA.5.1.30",0.344366886161671,0.534822876362554,0.669218173716427,0.584307081327691,0.630007529435362,0.542028147412902,0.386612135494337,0.59030544813491,1,0.612625393803815,0.621515568535716,0.573591732586036,0.599182451245591,0.561383407537381,0.711159074975506,0.49759453100246,0.629784320559315,0.521922965898351,0.553234666012668,0.432005036020291,0.640460974241489,0.490618652270783,0.3791845363992,0.305689027333031,0.382828252327787,0.605781073820424,0.314400439643407
"BA.5.2",0.605847426730118,0.753822889253361,0.848274179990981,0.830609023853961,0.737575215084243,0.588139596178734,0.562237072354384,0.799811119280343,0.612625393803815,1,0.877044880149846,0.645006070491734,0.792463930728709,0.834103333865921,0.804924101988345,0.743007117282847,0.761855304269897,0.701846209241449,0.762373494276344,0.766752634580608,0.773083639523757,0.680941174382674,0.621067894640514,0.41104285789365,0.418912636545676,0.745724064273271,0.359148414468653
