BA.5.2	All	NS	RBD
BA.5.2.1	0.866748567	0.860891718	0.87704488
BA.4.1	0.768741011	0.741589595	0.84827418
BA.5.5	0.798281489	0.780404693	0.834103334
BA.5.1	0.841387802	0.823165884	0.830609024
BA.5.6	0.72824004	0.712179894	0.804924102
BA.5.1.23	0.5737483	0.556924742	0.799811119
BA.5.2.9	0.625136618	0.587022058	0.792463931
BF.5	0.659501578	0.635675049	0.77308364
BF.26	0.577183564	0.539579245	0.766752635
BF.10	0.692245089	0.679989003	0.762373494
BE.1.1	0.643997956	0.641537784	0.761855304
BA.4	0.712694471	0.690500737	0.753822889
BA.4.6	0.785518208	0.766786321	0.745724064
BE.1	0.685592936	0.661044975	0.743007117
BA.5.1.1	0.59653316	0.555658373	0.737575215
BE.3	0.541730252	0.524018619	0.701846209
CHN_BA524849	0.63146786	0.646747448	0.680941174
BA.5.2.20	0.560064927	0.578303836	0.64500607
BF.7	0.687830715	0.665376824	0.621067895
BA.5.1.30	0.549331025	0.523722672	0.612625394
BA.5	0.561021278	0.552694922	0.605847427
BA.5.1.10	0.567535496	0.559665235	0.588139596
BA.5.1.22	0.410885493	0.330387149	0.562237072
BQ.1.1	0.794221195	0.764531707	0.418912637
BQ.1	0.722365798	0.686198137	0.411042858
CHN_BF714	0.524919367	0.507846041	0.359148414
