BF.7	All	NS	RBD
BA.4.6	0.64057018	0.610802377	0.693599369
BA.5.2.1	0.712978951	0.695985904	0.65804195
BA.5.2	0.687830715	0.665376824	0.621067895
BA.5.1	0.68742327	0.664547875	0.614789038
BF.5	0.543851874	0.518087291	0.57723894
BA.5.5	0.668651514	0.641572806	0.573098613
BF.10	0.555086658	0.52541444	0.57139292
BA.4.1	0.629389093	0.595408786	0.563513568
BF.26	0.463636224	0.427537696	0.559540875
BA.5.6	0.579526507	0.540359556	0.555502777
BE.1	0.558139186	0.525096499	0.528336106
BA.4	0.578064832	0.545205289	0.519619558
BE.1.1	0.503918544	0.483550161	0.514395145
BA.5.2.9	0.50319817	0.456723036	0.508417635
CHN_BA524849	0.501824462	0.507161901	0.496469574
BE.3	0.417013601	0.375941919	0.492171785
BA.5	0.452487077	0.44272661	0.463014004
BA.5.1.10	0.467095696	0.449317843	0.450471717
BA.5.1.22	0.34993744	0.299031353	0.435370432
BA.5.2.20	0.456817882	0.469051995	0.431073492
BA.5.1.23	0.474244722	0.460640066	0.413106466
BA.5.1.1	0.495900515	0.440650553	0.400472413
BA.5.1.30	0.441241251	0.415398719	0.379184536
BQ.1.1	0.641990182	0.596854537	0.370131537
BQ.1	0.590349298	0.543024493	0.359443522
CHN_BF714	0.434819619	0.408619209	0.264378181
