All	NS	RBD	All	NS	RBD
0.866748567	0.860891718	0.87704488	0.64057018	0.610802377	0.693599369
0.768741011	0.741589595	0.84827418	0.712978951	0.695985904	0.65804195
0.798281489	0.780404693	0.834103334	0.687830715	0.665376824	0.621067895
0.841387802	0.823165884	0.830609024	0.68742327	0.664547875	0.614789038
0.72824004	0.712179894	0.804924102	0.543851874	0.518087291	0.57723894
0.5737483	0.556924742	0.799811119	0.668651514	0.641572806	0.573098613
0.625136618	0.587022058	0.792463931	0.555086658	0.52541444	0.57139292
0.659501578	0.635675049	0.77308364	0.629389093	0.595408786	0.563513568
0.577183564	0.539579245	0.766752635	0.463636224	0.427537696	0.559540875
0.692245089	0.679989003	0.762373494	0.579526507	0.540359556	0.555502777
0.643997956	0.641537784	0.761855304	0.558139186	0.525096499	0.528336106
0.712694471	0.690500737	0.753822889	0.578064832	0.545205289	0.519619558
0.785518208	0.766786321	0.745724064	0.503918544	0.483550161	0.514395145
0.685592936	0.661044975	0.743007117	0.50319817	0.456723036	0.508417635
0.59653316	0.555658373	0.737575215	0.501824462	0.507161901	0.496469574
0.541730252	0.524018619	0.701846209	0.417013601	0.375941919	0.492171785
0.63146786	0.646747448	0.680941174	0.452487077	0.44272661	0.463014004
0.560064927	0.578303836	0.64500607	0.467095696	0.449317843	0.450471717
0.687830715	0.665376824	0.621067895	0.34993744	0.299031353	0.435370432
0.549331025	0.523722672	0.612625394	0.456817882	0.469051995	0.431073492
0.561021278	0.552694922	0.605847427	0.474244722	0.460640066	0.413106466
0.567535496	0.559665235	0.588139596	0.495900515	0.440650553	0.400472413
0.410885493	0.330387149	0.562237072	0.441241251	0.415398719	0.379184536
0.794221195	0.764531707	0.418912637	0.641990182	0.596854537	0.370131537
0.722365798	0.686198137	0.411042858	0.590349298	0.543024493	0.359443522
0.524919367	0.507846041	0.359148414	0.434819619	0.408619209	0.264378181
