_id	admin_level	confirmed	confirmed_doublingRate	confirmed_numIncrease	confirmed_numIncrease_per_100k	confirmed_per_100k	confirmed_rolling	confirmed_rolling_per_100k	country_name	date	dead	dead_doublingRate	dead_numIncrease	dead_numIncrease_per_100k	dead_per_100k	dead_rolling	dead_rolling_per_100k	location_id	mostRecent	name	source
"CHN_None_None2020-02-12"	0	44759	11.768526026	373	0.0264205709	3.1703977585	2474.1428222656	0.1752500385	"China"	"2020-02-12"	1117	7.5800413436	5	0.0003541631	0.0791200474	79.1428604126	0.0056058969	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-13"	0	59895	8.3431040746	15136	1.0721226931	4.2425203323	4186.8569335938	0.2965660989	"China"	"2020-02-13"	1369	7.3060060647	252	0.0178498235	0.0969698727	105.1428604126	0.007447545	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-14"	0	66358	9.0002366406	6463	0.4577912986	4.7003116608	4606.8569335938	0.3263158202	"China"	"2020-02-14"	1521	7.8428295486	152	0.0107665602	0.1077364311	114.7142868042	0.0081255147	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-15"	0	68413	13.2886400168	2055	0.1455610543	4.845872879	4514.1430664062	0.3197486103	"China"	"2020-02-15"	1663	9.8078967632	142	0.0100582335	0.1177946627	122.5714263916	0.0086820563	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-16"	0	70513	17.5316836443	2100	0.148748517	4.9946212769	4383.4287109375	0.3104897738	"China"	"2020-02-16"	1766	11.4529505874	103	0.0072957608	0.1250904202	123	0.0087124137	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-17"	0	72434	26.4080325508	1921	0.1360694766	5.1306905746	4297.1430664062	0.3043779433	"China"	"2020-02-17"	1864	13.2231081823	98	0.0069415979	0.1320320219	121.7142868042	0.0086213434	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-18"	0	74211	31.5634830861	1777	0.1258695871	5.2565603256	4260.7143554688	0.3017975986	"China"	"2020-02-18"	2003	13.4049012155	139	0.0098457355	0.1418777555	127.2857131958	0.009015982	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-19"	0	74619	49.0483883512	408	0.0288997125	5.2854599953	4265.7143554688	0.3021517694	"China"	"2020-02-19"	2116	14.0202370467	113	0.008004087	0.1498818398	142.7142791748	0.0101088285	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-20"	0	75077	-18.0778446569	458	0.0324413441	5.3179011345	2168.8571777344	0.1536258608	"China"	"2020-02-20"	2238	20.9638789005	122	0.0086415811	0.1585234255	124.1428604126	0.0087933652	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-21"	0	75550	-9.0023484325	473	0.0335038342	5.3514051437	1313.1428222656	0.0930133611	"China"	"2020-02-21"	2238	50.6556389979	0	0	0.1585234255	102.4285736084	0.007255285	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-22"	0	77001	-8.2264161219	1451	0.1027781442	5.4541835785	1226.8571777344	0.0869015157	"China"	"2020-02-22"	2443	51.4819522979	205	0.0145206889	0.1730441153	111.4285736084	0.0078927791	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-23"	0	77022	-7.061408924	21	0.0014874852	5.4556708336	929.8571166992	0.0658642277	"China"	"2020-02-23"	2445	230.4373841758	2	0.0001416653	0.1731857806	97	0.0068707652	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
"CHN_None_None2020-02-24"	0	77241	-5.9333372429	219	0.0155123463	5.4711833	686.7142944336	0.0486417785	"China"	"2020-02-24"	2595	156.3175041539	150	0.0106248949	0.1838106811	104.4285736084	0.0073969504	"CHN"	false	"China"	"JHU COVID-19 Data Repository"
