Database	Submitter
GISAID	Zhejiang Province Center of Disease Control and Prevention
GISAID	Zhejiang Province Center of Disease Control and Prevention
GISAID	Zhejiang Province Center of Disease Control and Prevention
GISAID	Zhejiang Province Center of Disease Control and Prevention
GISAID	Beijing Center for Disease Control and Prevention
GISAID	Beijing Center for Disease Control and Prevention
GISAID	Beijing Center for Disease Control and Prevention
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Huainan CDC
GISAID	Ganzhou Center for Disease Control and Prevention
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Changsha Center for Disease Control and Prevention
GISAID	Jiujiang Center for Disease Control and Prevention
GISAID	Ganzhou Center for Disease Control and Prevention
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Changsha Center for Disease Control and Prevention
GISAID	Heilongjiang Provincial Center for Disease Control and Prevention, Department for Viral Disease Control and Prevention
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Ganzhou Center for Disease Control and Prevention
GISAID	Heilongjiang Provincial Center for Disease Control and Prevention, Department for Viral Disease Control and Prevention
GISAID	Nanchang City Center for Disease Control and Prevention
GISAID	Huainan CDC
GISAID	Huainan CDC
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Sichuan Center for Disease Control and Prevention
GISAID	Tianjin Centers for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shandong Provincial Center for Disease Control and Prevention
GISAID	Shanghai Institute of Hematology, National Research Center for Translational Medicine, State Key Laboratory of Medical Genomics, Ruijin Hospital Affiliated to Shanghai Jiao Tong University (SJTU) School of Medicine
GISAID	Shanghai Institute of Hematology, National Research Center for Translational Medicine, State Key Laboratory of Medical Genomics, Ruijin Hospital Affiliated to Shanghai Jiao Tong University (SJTU) School of Medicine
GISAID	Shanghai Institute of Hematology, National Research Center for Translational Medicine, State Key Laboratory of Medical Genomics, Ruijin Hospital Affiliated to Shanghai Jiao Tong University (SJTU) School of Medicine
