Clade	A1	A2	B	C/D1	D2	D3	D4	E1/E2.1	E2.2	E3	F1	F3
BA.5 convalescents2BA5_IC50	68.407332347007	30.8305271713629	8.09728641448323	16.1494393970225	31.5490698892822	6.01974182220789	6.03301566182981	55.3470253852006	5.71410516027582	0.693226387097372	1.7606140250351	28.0521704224176
BF.7 convalescents2BF7_IC50	48.7047807645161	11.3064952213436	7.5649014691575	8.99727876257124	14.6579505721063	8.94191472754081	11.6628982107198	3.75614279162349	0.318586779875874	0.137212901764656	0.241940796872512	16.9899140310726
BA.1 convalescents reinfection2BA5_IC50	71.7641460312642	16.6868409606097	15.7741162244299	31.5229616043552	28.1192173498342	197.64801001927	56.4787582764781	4.965950495005	2.19586056766465	0	0	19.6873638788258
BA.1 convalescents reinfection2BF7_IC50	76.1314578357648	18.0088072400117	18.2771698584031	41.1332633694016	45.4682506464883	272.240659866801	103.410845177577	1.70672862354808	1.76270766243254	0	0	31.8045035588373
BA.2 convalescents reinfection2BA5_IC50	57.6305796751906	15.1656925153443	11.4589917594677	13.2023006982541	33.1028743707297	43.3145989312848	23.5364747317105	38.933387283448	0.880208503264047	0.0721165896692931	6.71768190613328	77.8224424666669
BA.2 convalescents reinfection2BF7_IC50	65.3223613793433	16.8649588049624	13.0611050036766	15.7805510253807	63.8463908835496	62.1739788737668	37.7963681328921	16.3527025855728	0.714783444465901	0.184621515034082	7.26511043300673	127.473771247733
BA.5 convalescents_Cross_D614G_IC502BA5_IC50	54.7674501687135	2.14996674231023	3.52534276914182	3.5662795381093	15.891457240947	2.16877030613294	0	49.9018381880299	1.62637300298518	0.399059759261341	1.39177358318661	1.21041928783557
BF.7 convalescents_Cross_D614G_IC502BF7_IC50	42.2884259490561	0	0	0	9.05921751687053	4.3703305136659	3.99932441608875	1.09189045960745	0.318586779875874	0.137212901764656	0.234405944680555	0
BA.5 convalescents_Cross_BA1_IC502BA5_IC50	38.3820644049882	1.68402965454308	3.52534276914182	1.79182399899092	4.1387046064733	3.77783519902956	0	41.4728156374886	2.11276437968886	0.496638432111883	1.39177358318661	4.81307032165898
BF.7 convalescents_Cross_BA1_IC502BF7_IC50	41.4352215943113	2.28878347567891	4.14422584237368	6.16682344720016	10.5783494156173	6.68393247468094	6.63552447060964	3.04461559222327	0.318586779875874	0.137212901764656	0.234405944680555	8.18435779737695
BA.5 convalescents_Cross_BA2_IC502BA5_IC50	40.0496259450726	16.1682993693055	3.52534276914182	6.22543365122511	27.2399158167041	5.76792984921409	0	44.7726381281067	2.28269533003972	0.330422806768362	1.55926467048037	16.9659540259141
BF.7 convalescents_Cross_BA2_IC502BF7_IC50	41.8240091152647	3.30470644177608	4.14422584237368	6.95224449362966	14.6579505721063	8.94191472754081	10.4449588767944	3.75614279162349	0.318586779875874	0.137212901764656	0.234405944680555	14.5388460541955
