Clade	TotalEvent	EscMut
BA.4.1	247	148
BA.4.6	321	180
BA.4	154	91
BA.5.1.1	73	45
BA.5.1.10	56	25
BA.5.1.22	60	36
BA.5.1.23	59	40
BA.5.1.30	62	36
BA.5.1	760	443
BA.5.2.1	1063	624
BA.5.2.20	74	44
BA.5.2.48	0	0
BA.5.2.9	119	73
BA.5.2	745	453
BA.5.5	329	196
BA.5.6	235	152
BA.5	102	67
BE.1.1	153	98
BE.1	134	84
BE.3	64	39
BF.10	155	82
BF.26	80	53
BF.5	115	71
BF.7.14	2	0
BF.7	120	65
BQ.1.1.32	28	12
BQ.1.1	614	258
BQ.1	260	125
CHN_BA524849	284	161
CHN_BF714	74	34
node_1344263	25	13
node_1352180	259	148
node_1376295	74	34
