Clade	A1	A2	B	C/D1	D2	D3	D4	E1/E2.1	E2.2	E3	F1	F3
BA.4.1	0.0242914979757085	0.0121457489878543	0.0404858299595142	0.133603238866397	0.303643724696356	0.174089068825911	0.0647773279352227	0.34412955465587	0.0202429149797571	0.0161943319838057	0.0283400809716599	0.0202429149797571
BA.4.6	0.0778816199376947	0.0498442367601246	0.0654205607476635	0.174454828660436	0.205607476635514	0.152647975077882	0.0654205607476635	0.161993769470405	0.00934579439252336	0.0124610591900312	0.0186915887850467	0.00623052959501558
BA.4	0.0324675324675325	0.0194805194805195	0.0194805194805195	0.051948051948052	0.266233766233766	0.168831168831169	0.051948051948052	0.448051948051948	0.0194805194805195	0	0.00649350649350649	0
BA.5.1.1	0.0136986301369863	0	0	0.0684931506849315	0.383561643835616	0.219178082191781	0.150684931506849	0.383561643835616	0.0136986301369863	0.0136986301369863	0.0136986301369863	0
BA.5.1.10	0.0535714285714286	0.0357142857142857	0.0178571428571429	0.0892857142857143	0.214285714285714	0.0535714285714286	0.0892857142857143	0.267857142857143	0.0178571428571429	0	0	0
BA.5.1.22	0.0333333333333333	0.0166666666666667	0.0333333333333333	0.05	0.166666666666667	0.0666666666666667	0.0333333333333333	0.433333333333333	0.0166666666666667	0	0	0
BA.5.1.23	0	0	0.0338983050847458	0.0847457627118644	0.389830508474576	0.271186440677966	0.135593220338983	0.457627118644068	0.0169491525423729	0	0	0
BA.5.1.30	0.032258064516129	0.0161290322580645	0.0161290322580645	0.161290322580645	0.274193548387097	0.145161290322581	0.032258064516129	0.32258064516129	0.0161290322580645	0.0161290322580645	0.032258064516129	0
BA.5.1	0.0394736842105263	0.0315789473684211	0.0157894736842105	0.0894736842105263	0.230263157894737	0.144736842105263	0.0315789473684211	0.369736842105263	0.0223684210526316	0.00789473684210526	0.00657894736842105	0.00131578947368421
BA.5.2.1	0.0460959548447789	0.0310442144873001	0.0385700846660395	0.0874882408278457	0.283160865475071	0.185324553151458	0.0545625587958608	0.331138287864534	0.013170272812794	0.00940733772342427	0.0141110065851364	0.00564440263405456
BA.5.2.20	0.0675675675675676	0.027027027027027	0.027027027027027	0.0945945945945946	0.202702702702703	0.0540540540540541	0.0540540540540541	0.310810810810811	0.0135135135135135	0.0135135135135135	0.0405405405405405	0
BA.5.2.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
BA.5.2.9	0.0252100840336134	0.0168067226890756	0.0168067226890756	0.0588235294117647	0.361344537815126	0.235294117647059	0.0756302521008403	0.403361344537815	0.00840336134453781	0	0.0168067226890756	0
BA.5.2	0.0577181208053691	0.0402684563758389	0.0389261744966443	0.102013422818792	0.240268456375839	0.139597315436242	0.0778523489932886	0.316778523489933	0.0228187919463087	0.0120805369127517	0.0134228187919463	0.00805369127516779
BA.5.5	0.0303951367781155	0.0212765957446809	0.0303951367781155	0.100303951367781	0.276595744680851	0.173252279635258	0.0638297872340425	0.370820668693009	0.00911854103343465	0.0121580547112462	0.00303951367781155	0.00303951367781155
BA.5.6	0.0723404255319149	0.0170212765957447	0.0468085106382979	0.119148936170213	0.31063829787234	0.174468085106383	0.0723404255319149	0.353191489361702	0.00425531914893617	0	0.00425531914893617	0
BA.5	0.0686274509803922	0.00980392156862745	0.0196078431372549	0.0784313725490196	0.215686274509804	0.107843137254902	0.0588235294117647	0.411764705882353	0.0196078431372549	0.0196078431372549	0	0
BE.1.1	0.0261437908496732	0.0065359477124183	0.0196078431372549	0.104575163398693	0.261437908496732	0.150326797385621	0.0392156862745098	0.398692810457516	0.0196078431372549	0.0196078431372549	0.0065359477124183	0
BE.1	0	0.0149253731343284	0.0298507462686567	0.104477611940299	0.365671641791045	0.208955223880597	0.0447761194029851	0.417910447761194	0	0	0.00746268656716418	0
BE.3	0.015625	0	0.046875	0.15625	0.359375	0.265625	0.046875	0.34375	0	0	0	0
BF.10	0.032258064516129	0.0451612903225806	0.0258064516129032	0.0709677419354839	0.316129032258064	0.180645161290323	0.0580645161290323	0.283870967741935	0.00645161290322581	0	0.00645161290322581	0
BF.26	0.025	0.0125	0.025	0.125	0.2875	0.2	0.0625	0.4	0.0125	0	0	0
BF.5	0.0347826086956522	0.0173913043478261	0.0260869565217391	0.0869565217391304	0.295652173913043	0.182608695652174	0.0608695652173913	0.365217391304348	0.00869565217391304	0	0.0260869565217391	0.00869565217391304
BF.7.14	0	0	0	0	0	0	0	0	0	0	0	0
BF.7	0.125	0.0583333333333333	0.0666666666666667	0.125	0.15	0.1	0.025	0.158333333333333	0.00833333333333333	0.0416666666666667	0.025	0.00833333333333333
BQ.1.1.32	0.0357142857142857	0.0357142857142857	0.178571428571429	0.178571428571429	0.107142857142857	0.0714285714285714	0	0.107142857142857	0	0	0	0
BQ.1.1	0.0570032573289902	0.0293159609120521	0.0700325732899023	0.171009771986971	0.100977198697068	0.0830618892508143	0.0211726384364821	0.115635179153094	0.0162866449511401	0.0211726384364821	0.00325732899022801	0
