Clade	BA.4	BA.4.1	BA.5	BA.5.1	BA.5.1.1	BA.5.1.10	BA.5.1.22	BA.5.1.23	BA.5.1.30	BA.5.2	BA.5.2.1	BA.5.2.9	BA.5.2.20	BA.5.5	BA.5.6	BE.1	BE.1.1	BE.3	BF.10	BF.26	BF.5	BA.4.6	BF.7	BQ.1	BQ.1.1	BQ.1.1.32	CHN_BA524849	CHN_BF714	BA.5 convalescents2BA5_IC50	BF.7 convalescents2BF7_IC50	BA.1 convalescents reinfection2BA5_IC50	BA.1 convalescents reinfection2BF7_IC50	BA.2 convalescents reinfection2BA5_IC50	BA.2 convalescents reinfection2BF7_IC50	BA.5 convalescents_Cross_D614G_IC502BA5_IC50	BF.7 convalescents_Cross_D614G_IC502BF7_IC50	BA.1 convalescents reinfection_Cross_BA1_IC502BA5_IC50	BA.1 convalescents reinfection_Cross_BA1_IC502BF7_IC50	BA.2 convalescents reinfection_Cross_BA2_IC502BA5_IC50	BA.2 convalescents reinfection_Cross_BA2_IC502BF7_IC50	BA.1 convalescents reinfection_Cross_D614G_IC502BA5_IC50	BA.1 convalescents reinfection_Cross_D614G_IC502BF7_IC50	BA.2 convalescents reinfection_Cross_D614G_IC502BA5_IC50	BA.2 convalescents reinfection_Cross_D614G_IC502BF7_IC50	BA.5 convalescentsSpecific	BF.7 convalescentsSpecific
A1	0.032467532	0.024291498	0.068627451	0.039473684	0.01369863	0.053571429	0.033333333	0	0.032258065	0.057718121	0.046095955	0.025210084	0.067567568	0.030395137	0.072340426	0	0.026143791	0.015625	0.032258065	0.025	0.034782609	0.07788162	0.125	0.053846154	0.057003257	0.035714286	0.014084507	0.040540541	0.264474743	0.365431982	0.161324579	0.124817047	0.179067407	0.153038295	0.400936743	0.687623452	0.202142172	0.177386022	0.207349423	0.205765895	0.406522959	0.339715696	0.312397381	0.294892478	0.111752095	0.089388397
A2	0.019480519	0.012145749	0.009803922	0.031578947	0	0.035714286	0.016666667	0	0.016129032	0.040268456	0.031044214	0.016806723	0.027027027	0.021276596	0.017021277	0.014925373	0.006535948	0	0.04516129	0.0125	0.017391304	0.049844237	0.058333333	0.046153846	0.029315961	0.035714286	0.084507042	0.121621622	0.119196225	0.084832636	0.037511734	0.029525326	0.047122227	0.039511501	0.015739288	0	0.050033459	0.044771291	0.047784742	0.049600201	0.01729279	0.01509948	0.031977584	0.03032332	0.234980967	0.157514588
B	0.019480519	0.04048583	0.019607843	0.015789474	0	0.017857143	0.033333333	0.033898305	0.016129032	0.038926174	0.038570085	0.016806723	0.027027027	0.030395137	0.046808511	0.029850746	0.019607843	0.046875	0.025806452	0.025	0.026086957	0.065420561	0.066666667	0.030769231	0.070032573	0.178571429	0.007042254	0.040540541	0.031305529	0.056759458	0.035459945	0.029965305	0.035604916	0.03059977	0.02580802	0	0.018595349	0.019843164	0.032637283	0.034033607	0.061392637	0.053559546	0.068554822	0.068614976	0.037458115	0.105389187
C/D1	0.051948052	0.133603239	0.078431373	0.089473684	0.068493151	0.089285714	0.05	0.084745763	0.161290323	0.102013423	0.087488241	0.058823529	0.094594595	0.100303951	0.119148936	0.104477612	0.104575163	0.15625	0.070967742	0.125	0.086956522	0.174454829	0.125	0.107692308	0.171009772	0.178571429	0.123239437	0.121621622	0.062436565	0.067506585	0.070863081	0.067437727	0.041021655	0.036970933	0.026107706	0	0.062257796	0.073849679	0.008880908	0.010007931	0.097266012	0.087035734	0.047845297	0.047201162	0.103094327	0.125344117
D2	0.266233766	0.303643725	0.215686275	0.230263158	0.383561644	0.214285714	0.166666667	0.389830508	0.274193548	0.240268456	0.283160865	0.361344538	0.202702703	0.276595745	0.310638298	0.365671642	0.261437908	0.359375	0.316129032	0.2875	0.295652174	0.205607477	0.15	0.119230769	0.100977199	0.107142857	0.197183099	0.108108108	0.121974237	0.109978607	0.063211522	0.074544911	0.102855913	0.149580367	0.116336786	0.1473058	0.074028117	0.072842962	0.11387414	0.123000329	0.151179673	0.186241188	0.181266362	0.308527795	0.12828344	0.077997834
D3	0.168831169	0.174089069	0.107843137	0.144736842	0.219178082	0.053571429	0.066666667	0.271186441	0.14516129	0.139597315	0.185324553	0.235294118	0.054054054	0.17325228	0.174468085	0.208955224	0.150326797	0.265625	0.180645161	0.2	0.182608696	0.152647975	0.1	0.115384615	0.083061889	0.071428571	0.073943662	0.040540541	0.023273378	0.067091188	0.444309363	0.446336851	0.134585371	0.145662213	0.015876943	0.071062984	0.43506442	0.409805698	0.105074696	0.104306311	0.199564304	0.267379503	0.046757485	0.058316668	0.031551162	0.063688278
D4	0.051948052	0.064777328	0.058823529	0.031578947	0.150684932	0.089285714	0.033333333	0.13559322	0.032258065	0.077852349	0.054562559	0.075630252	0.054054054	0.063829787	0.072340426	0.044776119	0.039215686	0.046875	0.058064516	0.0625	0.060869565	0.065420561	0.025	0.023076923	0.021172638	0	0.063380282	0.040540541	0.023324697	0.087506728	0.126963287	0.169541431	0.073131583	0.088549949	0	0.065030306	0.091143294	0.124052322	0.077646065	0.087205866	0.020145332	0.033039909	0.019811192	0.039482174	0.049428736	0.106763825
E1/E2.1	0.448051948	0.344129555	0.411764706	0.369736842	0.383561644	0.267857143	0.433333333	0.457627119	0.322580645	0.316778523	0.331138288	0.403361345	0.310810811	0.370820669	0.353191489	0.417910448	0.39869281	0.34375	0.283870968	0.4	0.365217391	0.161993769	0.158333333	0.215384615	0.115635179	0.107142857	0.295774648	0.108108108	0.213981306	0.02818234	0.011163372	0.002798171	0.120972247	0.038311379	0.365316998	0.017754491	0.014889797	0.00424306	0.139145583	0.039258005	0.032337284	0.008819831	0.279010575	0.101223607	0.044612634	0.037116596
E2.2	0.019480519	0.020242915	0.019607843	0.022368421	0.01369863	0.017857143	0.016666667	0.016949153	0.016129032	0.022818792	0.013170273	0.008403361	0.013513514	0.009118541	0.004255319	0	0.019607843	0	0.006451613	0.0125	0.008695652	0.009345794	0.008333333	0.026923077	0.016286645	0	0.031690141	0	0.022091733	0.002390357	0.004936257	0.002889948	0.002734948	0.001674606	0.011906209	0.005180324	0.00658402	0.004382228	0.003359007	0.002492466	0.014299008	0.009109112	0.006307889	0.004424526	0.033490951	0
E3	0	0.016194332	0.019607843	0.007894737	0.01369863	0	0	0	0.016129032	0.012080537	0.009407338	0	0.013513514	0.012158055	0	0	0.019607843	0	0	0	0	0.012461059	0.041666667	0.030769231	0.021172638	0	0.014084507	0.013513514	0.002680135	0.001029508	0	0	0.000224078	0.000432534	0.002921402	0.002231126	0	0	0	0	0	0	0	0	0.002410119	0
F1	0.006493506	0.028340081	0	0.006578947	0.01369863	0	0	0	0.032258065	0.013422819	0.014111007	0.016806723	0.040540541	0.003039514	0.004255319	0.007462687	0.006535948	0	0.006451613	0	0.026086957	0.018691589	0.025	0	0.003257329	0	0.024647887	0.027027027	0.006806843	0.001815282	0	0	0.02087291	0.017020819	0.010188774	0.003811516	0	0	0.010530262	0.010997578	0	0	0.006071412	0.00612639	0.003021924	0.000104971
F3	0	0.020242915	0	0.001315789	0	0	0	0	0	0.008053691	0.005644403	0	0	0.003039514	0	0	0	0	0	0	0.008695652	0.00623053	0.008333333	0.007692308	0	0	0.01056338	0.013513514	0.10845461	0.127475329	0.044256859	0.052143284	0.241806747	0.298647633	0.008861131	0	0.045261575	0.068823575	0.253717891	0.333331809	0	0	0	0.040866904	0.219915529	0.236692208
