Lineage	Count
B	2631
B.6	148
B.1.1.529	165
A	530
B.55	85
Unassigned	3463
B.53	2
B.5	8
B.19	15
B.20	15
B.46	14
B.47	24
B.1.14	25
B.15	33
	5
B.27	30
B.57	28
B.26	37
B.1.1	11014
B.1	24114
B.52	54
B.10	78
B.51	11
B.13	12
B.18	14
B.1.617.2	42271
B.11	56
B.6.3	1
B.6.6	13
B.12	9
B.45	122
B.4	73
B.4.6	4
B.4.8	7
B.4.4	14
B.4.1	2
B.4.7	14
B.4.5	24
B.23	170
B.1.1.161	56
B.3	378
B.3.1	242
B.42	3
B.1.1.164	69
B.43	14
B.41	4
B.30	21
B.29	114
B.28	113
B.31	152
B.33	264
B.36	2
B.38	2
B.34	31
B.37	2
B.32	16
B.35	46
B.39	209
B.58	38
B.61	77
B.40	1219
B.60	40
A.5	98
A.6	37
A.3	114
A.7	3
A.12	4
A.28	78
A.27	87
A.11	8
A.4	16
A.21	78
A.26	12
A.25	5
A.29	39
A.23.1	206
A.23	11
A.2	109
A.2.2	62
A.2.3	76
A.2.5	480
A.2.5.1	11
A.2.5.3	2
A.2.5.2	55
A.1	1222
B.1.369	1289
B.1.260	75
B.1.1.49	26
B.1.1.372	521
B.1.395	32
B.1.415	20
B.1.128	6
B.1.23	48
B.1.535	3
B.1.1.192	147
B.1.547	2
B.1.2	47162
B.1.1.39	962
B.1.206	106
B.1.566	7
B.1.1.307	995
B.1.94	3
B.1.215	45
B.1.143	27
B.1.595	1235
B.1.240	1570
B.1.194	2
B.1.247	21
B.1.160.32	87
B.1.555	2
B.1.137	7
B.1.239	254
B.1.145	12
B.1.227	3
B.1.179	15
B.1.527	9
B.1.187	15
B.1.222	222
B.1.618	1
B.1.195	10
B.1.382	38
B.1.545	18
B.1.177	24619
B.1.160	7550
B.1.177.45	587
B.1.1.63	338
B.1.378	15
B.1.69	10
B.1.81	15
B.1.78	29
B.1.70	16
B.1.543	29
B.1.67	12
B.1.103	25
B.1.131	19
B.1.379	17
B.1.188	20
B.1.390	40
B.1.106	17
B.1.113	38
B.1.76	32
B.1.524	34
B.1.539	30
B.1.105	36
B.1.177.31	33
B.1.77	9
B.1.393	8
B.1.153	18
B.1.91	41
B.1.199	74
B.1.377	93
B.1.383	34
B.1.1.25	377
B.1.201	90
B.1.546	17
B.1.8	118
B.1.549	113
B.1.1.7	277441
B.1.351	4334
B.1.384	99
B.1.198	10
B.1.35	56
B.1.205	11
B.1.96	14
B.1.97	17
B.1.620	68
B.1.619.1	3
B.1.619	142
B.1.142	117
B.1.126	404
B.1.1.448	1
B.1.552	19
B.1.93	428
B.1.139	265
B.1.565	491
B.1.252	58
B.1.557	6
B.1.249	6
B.1.248	16
B.1.559	14
B.1.251	28
B.1.250	33
B.1.104	96
B.1.254	22
B.1.160.16	155
B.1.88.1	18
B.1.391	370
B.1.636	37
B.1.627	186
B.1.634	99
B.1.631	116
XB	672
B.1.280	215
B.1.633	2
B.1.530	79
B.1.525	1614
B.1.147	40
B.1.211	6
B.1.208	4
B.1.178	5
B.1.6	6
B.1.219	6
B.1.220	43
B.1.210	26
B.1.149	5
B.1.221	1997
B.1.213	36
B.1.218	25
B.1.151	33
B.1.146	58
B.1.36.1	185
B.1.36.35	161
B.1.184	5
B.1.214	2
B.1.214.3	18
B.1.214.2	22
B.1.551	440
B.1.596	878
B.1.221.4	3
B.1.221.1	188
B.1.221.2	62
B.1.236	218
B.1.351.2	138
B.1.351.3	236
B.1.351.5	6
B.1.639	26
B.1.415.1	13
B.1.182	2
B.1.600	2
B.1.1.142	115
B.1.181	9
B.1.635	6
B.1.420	30
B.1.418	22
B.1.189	42
B.1.225	25
B.1.157	70
B.1.406	13
B.1.223	118
B.1.416	101
B.1.416.1	193
B.1.177.23	193
B.1.609	658
B.1.404	276
B.1.561	773
B.1.190	44
B.1.256	40
B.1.258	2593
B.1.258.2	14
G.1	12
B.1.258.3	227
B.1.258.14	26
B.1.258.16	8
B.1.258.22	3
B.1.258.24	22
B.1.258.11	2
B.1.258.12	39
B.1.258.10	35
B.1.258.6	32
B.1.258.7	202
B.1.258.23	24
B.1.258.5	60
B.1.258.4	123
B.1.258.17	629
B.1.1.153	151
B.1.36	515
B.1.401	91
B.1.243	4959
B.1.237	21
B.1.233	14
B.1.407	17
B.1.556	13
B.1.231	14
B.1.398	40
B.1.229	59
B.1.400	1188
B.1.572	8
B.1.558	130
B.1.381	46
B.1.554	31
B.1.238	33
B.1.402	51
B.1.397	68
B.1.408	76
B.1.399	155
B.1.241	547
B.1.403	142
B.1.405	50
B.1.409	357
B.1.396	287
B.1.1.334	3
B.1.235	167
B.1.610	113
B.1.232	582
B.1.421	53
B.1.400.1	36
B.1.240.2	21
B.1.550	42
B.1.234	2851
B.1.243.1	16
B.1.602	76
B.1.243.2	8
B.1.36.39	168
B.1.177.44	979
B.1.177.60	119
B.1.177.52	124
B.1.177.72	28
B.1.177.32	54
B.1.177.75	151
B.1.177.28	49
B.1.177.33	52
B.1.177.73	37
B.1.1.521	45
B.1.177.69	288
B.1.177.71	56
B.1.177.17	606
B.1.177.16	759
B.1.177.11	196
B.1.177.46	8
B.1.177.9	298
B.1.177.30	101
B.1.177.10	547
B.1.177.20	301
B.1.177.19	289
B.1.177.18	352
B.1.177.43	304
B.1.177.35	10
B.1.177.41	1
B.1.177.12	12
B.1.177.39	1
B.1.177.89	43
B.1.177.83	51
B.1.177.84	84
B.1.177.82	126
