Lineage	nsp1	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	Spike	ORF3a	E	M	ORF6	ORF7a	ORF7b	ORF8	N	ORF10	RBD	NTD	Other
BA.4.1	406	1120	2305	425	222	284	56	113	118	94	12	614	556	471	279	242	1579	759	83	221	121	479	108	341	796	123	247	430	902
BA.4.6	382	1184	2561	454	226	284	68	121	113	114	12	604	473	554	305	250	1882	791	101	212	102	584	106	357	857	122	321	570	991
BA.4	217	627	1262	224	137	171	33	71	50	60	11	286	273	274	153	118	939	413	62	110	53	298	83	214	413	75	154	252	533
BA.5.1.1	133	284	576	104	82	71	17	65	35	32	3	187	185	107	69	93	476	216	22	46	31	134	15	107	248	13	73	142	261
BA.5.1.10	66	206	420	90	44	65	12	45	24	26	2	139	167	92	54	64	368	147	13	45	25	63	15	78	180	16	56	124	188
BA.5.1.22	123	238	493	85	48	57	11	29	22	28	1	102	85	106	51	51	380	147	20	47	23	71	17	99	201	13	60	115	205
BA.5.1.23	95	202	465	68	57	58	16	36	26	23	3	155	143	97	58	68	383	156	20	35	22	64	15	80	199	14	59	109	215
BA.5.1.30	97	224	543	107	47	69	12	41	32	25	1	125	119	113	75	50	408	165	11	47	43	88	24	102	222	20	62	126	220
BA.5.1	1211	2778	5711	1049	659	745	207	459	308	360	30	1857	1878	1265	728	824	4714	1792	154	451	299	1340	294	1190	2460	258	760	1331	2623
BA.5.2.1	1557	3954	8432	1517	954	1089	244	573	417	452	45	2271	2513	1888	1032	975	6665	2596	273	624	355	1566	318	1523	3224	361	1063	1995	3607
BA.5.2.20	91	277	541	102	57	75	14	31	34	29	2	144	144	119	71	52	428	175	15	35	19	89	18	117	209	16	74	131	223
BA.5.2.48	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	2	0	0	3	0	0	0	1
BA.5.2.9	148	346	784	141	80	102	21	47	36	46	4	220	176	176	85	67	607	261	33	65	37	118	18	155	304	22	119	186	302
BA.5.2	1037	2761	5926	1042	621	748	153	356	280	342	44	1522	1372	1405	679	678	4776	1836	213	511	240	1125	197	1098	2251	239	745	1494	2537
BA.5.5	692	1480	3182	475	335	406	101	214	181	198	17	924	986	695	377	415	2259	929	95	212	136	587	105	634	1270	98	329	625	1305
BA.5.6	438	931	1998	364	188	237	51	104	78	84	18	453	390	461	225	151	1473	612	60	174	99	317	72	355	808	83	235	423	815
BA.5	95	235	484	119	50	77	13	33	29	24	2	122	131	99	63	54	422	139	20	53	19	116	36	106	201	24	102	119	201
BE.1.1	215	540	1135	192	107	129	30	63	40	53	2	293	218	259	161	98	844	355	26	84	59	209	32	209	425	36	153	245	446
BE.1	231	471	1008	187	142	170	29	58	51	64	4	264	210	203	117	126	831	303	30	59	50	190	41	194	425	41	134	272	425
BE.3	94	201	501	77	48	59	10	32	16	26	3	125	95	102	67	48	374	135	15	29	29	76	9	78	148	16	64	123	187
BF.10	226	506	1102	187	117	146	21	66	41	51	6	254	257	271	129	119	878	320	34	77	32	196	27	202	402	37	155	256	467
BF.26	119	306	554	115	60	73	12	30	26	23	5	147	151	129	62	71	460	162	11	60	24	78	14	88	209	18	80	135	245
BF.5	176	434	1009	208	107	110	27	64	60	53	7	244	240	234	115	119	770	267	20	68	48	175	41	167	370	34	115	249	406
BF.7.14	1	0	5	2	3	1	0	0	1	1	0	2	0	0	0	1	5	2	0	0	0	0	1	0	0	1	2	0	3
BF.7	163	446	919	147	109	119	26	64	39	38	2	249	242	197	117	122	717	291	25	61	26	164	30	172	314	46	120	203	394
BQ.1.1.32	28	91	175	35	23	15	6	13	12	7	0	35	28	45	24	12	142	60	7	7	7	29	6	32	51	8	28	42	72
BQ.1.1	1013	2488	4945	857	490	518	133	276	191	242	30	1046	812	1168	679	455	3998	1619	135	368	206	764	141	993	1675	162	614	1340	2044
BQ.1	355	937	2004	354	222	218	43	118	71	100	11	416	359	484	272	237	1676	562	65	162	69	302	77	362	733	56	260	534	882
CHN_BA524849	158	538	1102	210	124	184	27	95	90	78	17	331	240	283	138	117	1296	328	47	116	48	248	51	234	487	35	284	391	621
CHN_BF714	119	284	685	131	80	108	10	59	45	56	8	139	118	117	93	70	609	208	23	53	26	108	18	117	229	36	74	195	340
node_1344263	12	58	131	24	12	26	2	20	6	9	3	30	24	27	13	13	125	23	5	13	11	29	8	33	50	1	25	40	60
node_1352180	146	480	971	186	112	158	25	75	84	69	14	301	216	256	125	104	1171	305	42	103	37	219	43	201	437	34	259	351	561
node_1376295	119	284	685	131	80	108	10	59	45	56	8	139	118	117	93	70	609	208	23	53	26	108	18	117	879	36	74	195	340
