strain	genbank_accession	date	country	host	completeness	length	Nextstrain_clade_usher	Lineage
Beijing/3173/2022|C_AA001586.1|2022-12-09		2022/12/9	China	Homo sapiens	Complete	29635	22B (Omicron)	BA.5.2.48
CHN/20221227-6/2022|C_AA008606.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/20221227-8/2022|C_AA008607.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/2022XGCX419/2022|C_AA008594.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29733	22B (Omicron)	BA.5.2.48
CHN/2022XGCX420/2022|C_AA008595.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29766	22B (Omicron)	BA.5.2.48
CHN/2022XGCX421/2022|C_AA008596.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29766	22B (Omicron)	BA.5.2.48
CHN/2022XGCX424/2022|C_AA008599.1|2022-12-22		2022/12/22	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/2023-19-CX530/2023|C_AA009186.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29683	22B (Omicron)	BA.5.2.48
CHN/2023005/2023|C_AA008615.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/2023007/2023|C_AA008616.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/2023009/2023|C_AA008618.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/2023012/2023|C_AA008619.1|2023-02-28		2023/2/28	China	Homo sapiens	Complete	29663	22B (Omicron)	BA.5.2.48
CHN/2023016/2023|C_AA008620.1|2023-03-09		2023/3/9	China	Homo sapiens	Complete	29784	22B (Omicron)	BA.5.2.48
CHN/2023147/2023|C_AA008621.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/2023148/2023|C_AA008622.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29711	22B (Omicron)	BA.5.2.48
CHN/202321/2023|C_AA008920.1|2023-01-20		2023/1/20	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230004/2022|C_AA003339.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/230004/2022|C_AA008679.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230005/2023|C_AA008964.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/23001/2023|C_AA008923.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23001/2023|C_AA009035.1|2023-01-04		2023/1/4	China	Homo sapiens	Complete	29730	22B (Omicron)	BA.5.2.48
CHN/230010/2022|C_AA008685.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230017C/2023|C_AA008687.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23002/2023|C_AA008924.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/23002/2023|C_AA009036.1|2023-01-05		2023/1/5	China	Homo sapiens	Complete	29734	22B (Omicron)	BA.5.2.48
CHN/230020C/2023|C_AA008690.1|2023-01-23		2023/1/23	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/230021C/2023|C_AA008692.1|2023-01-27		2023/1/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230023/2022|C_AA008694.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230025C/2023|C_AA008695.1|2023-01-20		2023/1/20	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230026C/2023|C_AA008696.1|2023-01-22		2023/1/22	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230029C/2023|C_AA008699.1|2023		2023	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23003/2023|C_AA008925.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230031C/2023|C_AA008701.1|2023		2023	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/230035/2023|C_AA008704.1|2023		2023	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23004/2023|C_AA008672.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/23004/2023|C_AA008926.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230044/2023|C_AA008708.1|2023-01-19		2023/1/19	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230045/2023|C_AA008709.1|2023-01-22		2023/1/22	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
